brief_id,industry,brand_name,prompt_text,required_objects,colour_attributes,spatial_constraints,required_text,style_descriptors
MB083,fashion_apparel,AEON,"Product photography of black cycling shorts placed to the right of a white cycling helmet on a light gray surface, AEON logo on helmet side, clean studio shot","[""cycling shorts"", ""cycling helmet""]","{""cycling shorts"": ""black"", ""cycling helmet"": ""white""}","[""cycling shorts right of cycling helmet""]","[""AEON""]","[""product photography"", ""gray background"", ""studio lighting""]"
MB084,fashion_apparel,BRIM,"Product photography of a black leather wallet placed below silver coins on a dark marble surface, BRIM embossed on wallet front, luxury editorial lighting","[""leather wallet"", ""coins""]","{""leather wallet"": ""black"", ""coins"": ""silver""}","[""leather wallet below coins""]","[""BRIM""]","[""luxury editorial"", ""dark marble"", ""dramatic lighting""]"
MB085,fashion_apparel,CORD,"Flat lay fashion shot of a gray knit beanie hat placed below a navy jacket on a white surface, CORD tag on beanie, clean natural lighting","[""beanie hat"", ""jacket""]","{""beanie hat"": ""gray"", ""jacket"": ""navy""}","[""beanie hat below jacket""]","[""CORD""]","[""flat lay"", ""white background"", ""natural lighting""]"
MB086,fashion_apparel,DUSK,"Fashion product photography of black platform heels placed to the right of a red leather clutch bag on a gold surface, DUSK logo on heel, glamorous editorial lighting","[""platform heels"", ""clutch bag""]","{""platform heels"": ""black"", ""clutch bag"": ""red""}","[""platform heels right of clutch bag""]","[""DUSK""]","[""editorial photography"", ""gold surface"", ""glamorous lighting""]"
MB087,fashion_apparel,ZYLO,"Product photography of green cargo pants placed below brown leather boots on a white background, ZYLO label on pants waistband, clean studio lighting","[""cargo pants"", ""leather boots""]","{""cargo pants"": ""green"", ""leather boots"": ""brown""}","[""cargo pants below leather boots""]","[""ZYLO""]","[""product photography"", ""white background"", ""studio lighting""]"
MB088,fashion_apparel,FINN,"Flat lay product shot of a navy blue silk tie placed below a white dress shirt on a gray surface, FINN woven on tie label, professional editorial lighting","[""silk tie"", ""dress shirt""]","{""silk tie"": ""navy"", ""dress shirt"": ""white""}","[""silk tie below dress shirt""]","[""FINN""]","[""flat lay"", ""gray background"", ""professional lighting""]"
MB089,fashion_apparel,GILD,"Lifestyle flat lay of purple gym leggings placed to the right of white sports shoes on a clean gym floor, GILD logo on leggings waistband, bright studio lighting","[""gym leggings"", ""sports shoes""]","{""gym leggings"": ""purple"", ""sports shoes"": ""white""}","[""gym leggings right of sports shoes""]","[""GILD""]","[""flat lay"", ""white background"", ""bright lighting""]"
MB090,fashion_apparel,HAZE,"Summer lifestyle flat lay of tan leather sandals placed to the right of a white straw beach hat on a sandy surface, HAZE logo on sandal strap, bright natural lighting","[""leather sandals"", ""straw beach hat""]","{""leather sandals"": ""tan"", ""straw beach hat"": ""white""}","[""leather sandals left of straw beach hat""]","[""HAZE""]","[""flat lay"", ""sandy surface"", ""natural lighting""]"
MB091,automotive,TORQ,"Automotive product photography of a red sports car placed to the left of a white racing helmet on a dark studio floor, TORQ logo on car hood, dramatic studio lighting","[""sports car"", ""racing helmet""]","{""sports car"": ""red"", ""racing helmet"": ""white""}","[""sports car left of racing helmet""]","[""TORQ""]","[""product photography"", ""dark background"", ""dramatic lighting""]"
MB092,automotive,RUSH,"Product photography of a white electric car with a green charging cable placed to its left on a clean studio floor, RUSH logo on car door, clean white background","[""electric car"", ""charging cable""]","{""electric car"": ""white"", ""charging cable"": ""green""}","[""charging cable left of electric car""]","[""RUSH""]","[""product photography"", ""white background"", ""clean lighting""]"
MB093,automotive,FORGE,"Automotive product shot of a black SUV with a silver roof rack mounted above on a white studio floor, FORGE on hood, dramatic studio lighting","[""SUV"", ""roof rack""]","{""SUV"": ""black"", ""roof rack"": ""silver""}","[""roof rack above SUV""]","[""FORGE""]","[""product photography"", ""white background"", ""dramatic lighting""]"
MB094,automotive,HELIX,"Product photography of a black motorcycle placed to the left of a white full-face helmet on a dark studio floor, HELIX logo on motorcycle tank, dramatic studio lighting","[""motorcycle"", ""helmet""]","{""motorcycle"": ""black"", ""helmet"": ""white""}","[""motorcycle left of helmet""]","[""HELIX""]","[""product photography"", ""dark background"", ""dramatic lighting""]"
MB095,automotive,JOLT,"Automotive product shot of a blue sports car with a black tire placed below on a white studio floor, JOLT on car hood, clean dramatic lighting","[""sports car"", ""tire""]","{""sports car"": ""blue"", ""tire"": ""black""}","[""tire below sports car""]","[""JOLT""]","[""product photography"", ""white background"", ""dramatic lighting""]"
MB096,automotive,KINETIC,"Product photography of an orange pickup truck placed to the left of a black metal toolbox on a concrete surface, KINETIC on truck door, outdoor natural lighting","[""pickup truck"", ""toolbox""]","{""pickup truck"": ""orange"", ""toolbox"": ""black""}","[""pickup truck left of toolbox""]","[""KINETIC""]","[""product photography"", ""concrete surface"", ""outdoor lighting""]"
MB097,automotive,LAUNCH,"Product photography of a white electric scooter placed to the left of a black safety helmet on a gray urban sidewalk, LAUNCH on scooter deck, clean natural lighting","[""electric scooter"", ""safety helmet""]","{""electric scooter"": ""white"", ""safety helmet"": ""black""}","[""electric scooter left of safety helmet""]","[""LAUNCH""]","[""product photography"", ""urban setting"", ""natural lighting""]"
MB098,automotive,MOTION,"Product photography of a silver compact city car placed to the left of a white parking sign on a city street, MOTION logo on car hood, bright urban lighting","[""city car"", ""parking sign""]","{""city car"": ""silver"", ""parking sign"": ""white""}","[""city car left of parking sign""]","[""MOTION""]","[""product photography"", ""urban setting"", ""bright lighting""]"
MB099,automotive,PULSE,"Product photography of a yellow convertible car placed above a silver car key on a dark showroom floor, PULSE on car door, dramatic showroom lighting","[""convertible car"", ""car key""]","{""convertible car"": ""yellow"", ""car key"": ""silver""}","[""convertible car above car key""]","[""PULSE""]","[""product photography"", ""dark showroom"", ""dramatic lighting""]"
MB100,automotive,QUEST,"Product photography of a green hybrid car placed to the left of a navy solar panel on a clean studio surface, QUEST on car hood, clean white studio background","[""hybrid car"", ""solar panel""]","{""hybrid car"": ""green"", ""solar panel"": ""navy""}","[""hybrid car left of solar panel""]","[""QUEST""]","[""product photography"", ""white background"", ""clean lighting""]"
MB101,automotive,RACER,"Dramatic product shot of a red racing car placed to the left of a black and white checkered flag on a racing track, RACER logo on car hood, dramatic race lighting","[""racing car"", ""checkered flag""]","{""racing car"": ""red"", ""checkered flag"": ""black""}","[""racing car left of checkered flag""]","[""RACER""]","[""product photography"", ""race track"", ""dramatic lighting""]"
MB102,automotive,SPEED,"Product photography of a silver sports motorcycle placed above black leather racing gloves on a dark studio surface, SPEED on motorcycle fairing, dramatic studio lighting","[""sports motorcycle"", ""racing gloves""]","{""sports motorcycle"": ""silver"", ""racing gloves"": ""black""}","[""sports motorcycle above racing gloves""]","[""SPEED""]","[""product photography"", ""dark background"", ""dramatic lighting""]"
MB103,automotive,THRUST,"Product photography of a white family sedan with a black child seat placed to its right on a gray studio surface, THRUST on sedan door, clean studio lighting","[""family sedan"", ""child seat""]","{""family sedan"": ""white"", ""child seat"": ""black""}","[""child seat right of family sedan""]","[""THRUST""]","[""product photography"", ""gray background"", ""clean lighting""]"
MB104,automotive,VEER,"Product photography of a brown off-road vehicle placed to the left of a black spare tire on a rugged outdoor surface, VEER on hood, outdoor natural lighting","[""off-road vehicle"", ""spare tire""]","{""off-road vehicle"": ""brown"", ""spare tire"": ""black""}","[""off-road vehicle left of spare tire""]","[""VEER""]","[""product photography"", ""outdoor surface"", ""natural lighting""]"
MB105,automotive,WARP,"Luxury product photography of a black sedan placed above a gold key fob on a dark marble showroom floor, WARP on sedan hood, dramatic editorial lighting","[""sedan"", ""key fob""]","{""sedan"": ""black"", ""key fob"": ""gold""}","[""sedan above key fob""]","[""WARP""]","[""luxury editorial"", ""dark marble"", ""dramatic lighting""]"
MB106,automotive,XCEL,"Product photography of a white electric bicycle placed to the left of a black charging cable on a clean white studio floor, XCEL on bicycle frame, clean studio lighting","[""electric bicycle"", ""charging cable""]","{""electric bicycle"": ""white"", ""charging cable"": ""black""}","[""electric bicycle left of charging cable""]","[""XCEL""]","[""product photography"", ""white background"", ""studio lighting""]"
MB107,automotive,YOKE,"Glamour product shot of a red racing car placed to the left of a gold trophy on a dark showroom floor, YOKE on car hood, dramatic gold-lit atmosphere","[""racing car"", ""trophy""]","{""racing car"": ""red"", ""trophy"": ""gold""}","[""racing car left of trophy""]","[""YOKE""]","[""product photography"", ""dark showroom"", ""glamorous lighting""]"
MB108,automotive,ZOOM,"Product photography of a white delivery van placed to the left of a brown cardboard box on a gray street surface, ZOOM on van door, clean commercial lighting","[""delivery van"", ""cardboard box""]","{""delivery van"": ""white"", ""cardboard box"": ""brown""}","[""delivery van left of cardboard box""]","[""ZOOM""]","[""product photography"", ""gray surface"", ""commercial lighting""]"
MB109,automotive,ALPHA,"Product photography of a beige campervan placed to the left of a green camping tent on a grassy outdoor surface, ALPHA on van side, golden hour lighting","[""campervan"", ""camping tent""]","{""campervan"": ""beige"", ""camping tent"": ""green""}","[""campervan left of camping tent""]","[""ALPHA""]","[""product photography"", ""outdoor setting"", ""golden hour""]"
MB110,automotive,BRAVO,"Retro product shot of a blue vintage car placed to the left of a silver fuel pump on a concrete surface, BRAVO on car hood, warm vintage lighting","[""vintage car"", ""fuel pump""]","{""vintage car"": ""blue"", ""fuel pump"": ""silver""}","[""vintage car left of fuel pump""]","[""BRAVO""]","[""product photography"", ""concrete surface"", ""vintage lighting""]"
MB111,automotive,TORVEX,"Product photography of a black sports hatchback with a silver roof rack mounted above on a white studio floor, TORVEX on car door, dramatic studio lighting","[""sports hatchback"", ""roof rack""]","{""sports hatchback"": ""black"", ""roof rack"": ""silver""}","[""roof rack above sports hatchback""]","[""TORVEX""]","[""product photography"", ""white background"", ""dramatic lighting""]"
MB112,automotive,DELTA,"Product photography of a white police car with a red siren light placed above on a gray surface, DELTA on car door, dramatic night lighting","[""police car"", ""siren light""]","{""police car"": ""white"", ""siren light"": ""red""}","[""siren light above police car""]","[""DELTA""]","[""product photography"", ""gray surface"", ""dramatic lighting""]"
MB113,automotive,EAGLE,"Product photography of a yellow school bus placed to the right of a red stop sign on a gray road surface, EAGLE on bus side, bright natural lighting","[""school bus"", ""stop sign""]","{""school bus"": ""yellow"", ""stop sign"": ""red""}","[""school bus right of stop sign""]","[""EAGLE""]","[""product photography"", ""gray road"", ""bright lighting""]"
MB114,automotive,FOXTROT,"Product photography of a red fire truck placed to the right of a yellow coiled fire hose on a concrete surface, FOXTROT on truck door, dramatic red-lit atmosphere","[""fire truck"", ""fire hose""]","{""fire truck"": ""red"", ""fire hose"": ""yellow""}","[""fire truck right of fire hose""]","[""FOXTROT""]","[""product photography"", ""concrete surface"", ""dramatic lighting""]"
MB115,automotive,GRAND,"Luxury product shot of a black limousine placed above a red carpet on a dark city street, GRAND on limo door, glamorous night lighting","[""limousine"", ""red carpet""]","{""limousine"": ""black"", ""red carpet"": ""red""}","[""limousine above red carpet""]","[""GRAND""]","[""luxury editorial"", ""dark setting"", ""glamorous lighting""]"
MB116,automotive,HOUND,"Product photography of a gray all-terrain vehicle placed to the right of silver snow chains on a white snowy surface, HOUND on vehicle door, cold winter lighting","[""all-terrain vehicle"", ""snow chains""]","{""all-terrain vehicle"": ""gray"", ""snow chains"": ""silver""}","[""all-terrain vehicle right of snow chains""]","[""HOUND""]","[""product photography"", ""snowy surface"", ""cold lighting""]"
MB117,automotive,IRON,"Product photography of a black cruiser motorcycle placed above brown leather saddlebags on a dark studio floor, IRON on motorcycle tank, dramatic studio lighting","[""motorcycle"", ""saddlebags""]","{""motorcycle"": ""black"", ""saddlebags"": ""brown""}","[""motorcycle above saddlebags""]","[""IRON""]","[""product photography"", ""dark background"", ""dramatic lighting""]"
MB118,automotive,VANTIS,"Product photography of a green armored SUV with a black radio antenna placed to its right on a gray surface, VANTIS on hood, dramatic studio lighting","[""armored SUV"", ""radio antenna""]","{""armored SUV"": ""green"", ""radio antenna"": ""black""}","[""radio antenna right of armored SUV""]","[""VANTIS""]","[""product photography"", ""gray surface"", ""dramatic lighting""]"
MB119,automotive,KILO,"Product photography of a red micro car placed to the right of a white folded city map on a gray urban surface, KILO on car door, bright urban lighting","[""micro car"", ""city map""]","{""micro car"": ""red"", ""city map"": ""white""}","[""micro car right of city map""]","[""KILO""]","[""product photography"", ""urban setting"", ""bright lighting""]"
MB120,automotive,LANCE,"Product photography of an orange superbike placed to the right of a black racing track cone on a gray track surface, LANCE on bike fairing, dramatic race lighting","[""superbike"", ""track cone""]","{""superbike"": ""orange"", ""track cone"": ""black""}","[""superbike right of track cone""]","[""LANCE""]","[""product photography"", ""race track"", ""dramatic lighting""]"
MB121,lifestyle_wellness,ZENITH,"Product photography of a purple yoga mat placed to the left of a silver stainless steel water bottle on a white studio floor, ZENITH on mat, bright clean lighting","[""yoga mat"", ""water bottle""]","{""yoga mat"": ""purple"", ""water bottle"": ""silver""}","[""yoga mat left of water bottle""]","[""ZENITH""]","[""product photography"", ""white background"", ""bright lighting""]"
MB122,lifestyle_wellness,REVIVE,"Product photography of a white supplement bottle with orange capsules placed to its right on a clean white surface, REVIVE on bottle label, studio lighting","[""supplement bottle"", ""capsules""]","{""supplement bottle"": ""white"", ""capsules"": ""orange""}","[""capsules right of supplement bottle""]","[""REVIVE""]","[""product photography"", ""white background"", ""studio lighting""]"
MB123,lifestyle_wellness,BOOST,"Lifestyle product shot of a black gym bag placed to the left of a white folded towel on a gray gym floor, BOOST logo on bag strap, bright gym lighting","[""gym bag"", ""towel""]","{""gym bag"": ""black"", ""towel"": ""white""}","[""gym bag left of towel""]","[""BOOST""]","[""lifestyle photography"", ""gym setting"", ""bright lighting""]"
MB124,lifestyle_wellness,AURA,"Beauty product photography of a white face cream jar placed above pink flowers on a marble surface, AURA on jar lid, soft natural lighting","[""face cream jar"", ""flowers""]","{""face cream jar"": ""white"", ""flowers"": ""pink""}","[""face cream jar above flowers""]","[""AURA""]","[""beauty photography"", ""marble surface"", ""soft lighting""]"
MB125,lifestyle_wellness,PEAK,"Product photography of a black protein shaker bottle placed to the left of a silver dumbbell on a gray gym mat, PEAK on shaker, dramatic gym lighting","[""protein shaker"", ""dumbbell""]","{""protein shaker"": ""black"", ""dumbbell"": ""silver""}","[""protein shaker left of dumbbell""]","[""PEAK""]","[""product photography"", ""gym setting"", ""dramatic lighting""]"
MB126,lifestyle_wellness,CALM,"Lifestyle product shot of a purple meditation cushion placed to the left of a white candle on a bamboo wood floor, CALM on cushion side, soft ambient lighting","[""meditation cushion"", ""candle""]","{""meditation cushion"": ""purple"", ""candle"": ""white""}","[""meditation cushion left of candle""]","[""CALM""]","[""lifestyle photography"", ""bamboo surface"", ""soft lighting""]"
MB127,lifestyle_wellness,ALIGN,"Product flat lay of a blue foam roller placed above a purple yoga mat on a clean white floor, ALIGN embossed on roller, bright studio lighting","[""foam roller"", ""yoga mat""]","{""foam roller"": ""blue"", ""yoga mat"": ""purple""}","[""foam roller above yoga mat""]","[""ALIGN""]","[""flat lay"", ""white background"", ""bright lighting""]"
MB128,lifestyle_wellness,TENZO,"Product photography of red resistance bands placed to the left of a black water bottle on a white gym floor, TENZO on band, bright fitness studio lighting","[""resistance bands"", ""water bottle""]","{""resistance bands"": ""red"", ""water bottle"": ""black""}","[""resistance bands left of water bottle""]","[""TENZO""]","[""product photography"", ""white background"", ""bright lighting""]"
MB129,lifestyle_wellness,TERRA,"Lifestyle product shot of a brown glass essential oil bottle placed to the left of a white ceramic diffuser on a wood surface, TERRA on bottle, warm amber lighting","[""essential oil bottle"", ""ceramic diffuser""]","{""essential oil bottle"": ""brown"", ""ceramic diffuser"": ""white""}","[""essential oil bottle left of ceramic diffuser""]","[""TERRA""]","[""lifestyle photography"", ""wood surface"", ""warm lighting""]"
MB130,lifestyle_wellness,REST,"Lifestyle flat lay of a black silk sleep mask placed above a white pillow on a gray bed surface, REST on mask, soft bedside lighting","[""sleep mask"", ""pillow""]","{""sleep mask"": ""black"", ""pillow"": ""white""}","[""sleep mask above pillow""]","[""REST""]","[""flat lay"", ""gray surface"", ""soft lighting""]"
MB131,lifestyle_wellness,RYNTH,"Lifestyle flat lay of a white hardcover journal placed to the left of a black pen on a marble desk surface, RYNTH on journal cover, warm natural lighting","[""journal"", ""pen""]","{""journal"": ""white"", ""pen"": ""black""}","[""journal left of pen""]","[""RYNTH""]","[""flat lay"", ""marble surface"", ""natural lighting""]"
MB132,lifestyle_wellness,TRACE,"Lifestyle product shot of a black fitness watch placed to the left of a white smartphone on a light gray surface, TRACE on watch face, clean studio lighting","[""fitness watch"", ""smartphone""]","{""fitness watch"": ""black"", ""smartphone"": ""white""}","[""fitness watch left of smartphone""]","[""TRACE""]","[""lifestyle photography"", ""gray background"", ""studio lighting""]"
MB133,lifestyle_wellness,EASE,"Product photography of a black massage gun placed above its white charging base on a gray surface, EASE on gun body, clean studio lighting","[""massage gun"", ""charging base""]","{""massage gun"": ""black"", ""charging base"": ""white""}","[""massage gun above charging base""]","[""EASE""]","[""product photography"", ""gray background"", ""clean lighting""]"
MB134,lifestyle_wellness,RENEW,"Product photography of a white collagen powder jar placed to the left of a pink glass on a marble surface, RENEW on jar label, clean bright lighting","[""collagen powder jar"", ""glass""]","{""collagen powder jar"": ""white"", ""glass"": ""pink""}","[""collagen powder jar left of glass""]","[""RENEW""]","[""product photography"", ""marble surface"", ""bright lighting""]"
MB135,lifestyle_wellness,VOXA,"Lifestyle product shot of a green thermos placed to the left of a brown trail mix bag on a rocky outdoor surface, VOXA on thermos, outdoor natural lighting","[""thermos"", ""trail mix bag""]","{""thermos"": ""green"", ""trail mix bag"": ""brown""}","[""thermos left of trail mix bag""]","[""VOXA""]","[""lifestyle photography"", ""rocky surface"", ""outdoor lighting""]"
MB136,lifestyle_wellness,VIVID,"Overhead product shot of a yellow ceramic smoothie bowl placed above a silver spoon on a white marble surface, VIVID on bowl side, bright natural lighting","[""smoothie bowl"", ""spoon""]","{""smoothie bowl"": ""yellow"", ""spoon"": ""silver""}","[""smoothie bowl above spoon""]","[""VIVID""]","[""overhead shot"", ""marble surface"", ""bright lighting""]"
MB137,lifestyle_wellness,SHIELD,"Lifestyle product shot of a white sunscreen bottle placed to the left of an orange beach towel on a sandy surface, SHIELD on bottle, bright summer lighting","[""sunscreen bottle"", ""beach towel""]","{""sunscreen bottle"": ""white"", ""beach towel"": ""orange""}","[""sunscreen bottle left of beach towel""]","[""SHIELD""]","[""lifestyle photography"", ""sandy surface"", ""summer lighting""]"
MB138,lifestyle_wellness,VITAL,"Product photography of an orange vitamin bottle placed to the right of a silver blister pack on a white surface, VITAL on bottle label, bright studio lighting","[""vitamin bottle"", ""blister pack""]","{""vitamin bottle"": ""orange"", ""blister pack"": ""silver""}","[""blister pack left of vitamin bottle""]","[""VITAL""]","[""product photography"", ""white background"", ""bright lighting""]"
MB139,lifestyle_wellness,CORE,"Product photography of a teal balance board placed above white athletic sneakers on a gym floor, CORE on board surface, bright gym lighting","[""balance board"", ""sneakers""]","{""balance board"": ""teal"", ""sneakers"": ""white""}","[""balance board above sneakers""]","[""CORE""]","[""product photography"", ""gym setting"", ""bright lighting""]"
MB140,lifestyle_wellness,CHILL,"Beauty product photography of a white ice roller placed to the left of a gold face serum bottle on a white marble surface, CHILL on roller handle, cool clean lighting","[""ice roller"", ""face serum bottle""]","{""ice roller"": ""white"", ""face serum bottle"": ""gold""}","[""ice roller left of face serum bottle""]","[""CHILL""]","[""beauty photography"", ""marble surface"", ""clean lighting""]"
MB141,lifestyle_wellness,STEAM,"Spa lifestyle product shot of a white folded towel placed above a black water bottle on a wooden sauna bench, STEAM on towel corner, warm steam lighting","[""towel"", ""water bottle""]","{""towel"": ""white"", ""water bottle"": ""black""}","[""towel above water bottle""]","[""STEAM""]","[""lifestyle photography"", ""wooden surface"", ""warm lighting""]"
MB142,lifestyle_wellness,PRESS,"Product photography of a purple acupressure mat placed to the right of a white rectangular pillow on a light gray floor, PRESS on mat corner, clean studio lighting","[""acupressure mat"", ""pillow""]","{""acupressure mat"": ""purple"", ""pillow"": ""white""}","[""acupressure mat right of pillow""]","[""PRESS""]","[""product photography"", ""gray background"", ""clean lighting""]"
MB143,lifestyle_wellness,FUEL,"Product photography of a green nutrition bar wrapper placed above a silver stainless steel water bottle on a white gym surface, FUEL on wrapper, bright athletic lighting","[""nutrition bar"", ""water bottle""]","{""nutrition bar"": ""green"", ""water bottle"": ""silver""}","[""nutrition bar above water bottle""]","[""FUEL""]","[""product photography"", ""white background"", ""bright lighting""]"
MB144,lifestyle_wellness,MASS,"Product photography of a large black protein powder bag placed to the right of a red shaker bottle on a gym floor, MASS on bag front, dramatic gym lighting","[""protein powder bag"", ""shaker bottle""]","{""protein powder bag"": ""black"", ""shaker bottle"": ""red""}","[""protein powder bag right of shaker bottle""]","[""MASS""]","[""product photography"", ""gym setting"", ""dramatic lighting""]"
MB145,lifestyle_wellness,LUMI,"Beauty product photography of a white eye cream tube placed to the right of a gold handheld mirror on a pink marble surface, LUMI on tube cap, soft glamorous lighting","[""eye cream tube"", ""handheld mirror""]","{""eye cream tube"": ""white"", ""handheld mirror"": ""gold""}","[""eye cream tube right of handheld mirror""]","[""LUMI""]","[""beauty photography"", ""pink marble"", ""soft lighting""]"
MB146,lifestyle_wellness,EXTEND,"Product flat lay of a blue stretching strap placed below a purple yoga mat on a white studio floor, EXTEND on strap, bright clean lighting","[""stretching strap"", ""yoga mat""]","{""stretching strap"": ""blue"", ""yoga mat"": ""purple""}","[""stretching strap below yoga mat""]","[""EXTEND""]","[""flat lay"", ""white background"", ""bright lighting""]"
MB147,lifestyle_wellness,DRIFT,"Lifestyle product shot of a white sleep supplement bottle placed to the right of a silver moon lamp on a dark bedside table, DRIFT on bottle label, soft moonlit lighting","[""supplement bottle"", ""moon lamp""]","{""supplement bottle"": ""white"", ""moon lamp"": ""silver""}","[""supplement bottle right of moon lamp""]","[""DRIFT""]","[""lifestyle photography"", ""dark background"", ""soft lighting""]"
MB148,lifestyle_wellness,PACE,"Outdoor product photography of a blue hydration vest placed below orange trail running shoes on a rocky surface, PACE on vest, bright outdoor lighting","[""hydration vest"", ""trail running shoes""]","{""hydration vest"": ""blue"", ""trail running shoes"": ""orange""}","[""hydration vest below trail running shoes""]","[""PACE""]","[""product photography"", ""rocky surface"", ""outdoor lighting""]"
MB149,lifestyle_wellness,SERENE,"Lifestyle product shot of a black ceramic incense holder placed to the right of brown wooden meditation beads on a bamboo surface, SERENE on holder base, warm ambient lighting","[""incense holder"", ""meditation beads""]","{""incense holder"": ""black"", ""meditation beads"": ""brown""}","[""incense holder right of meditation beads""]","[""SERENE""]","[""lifestyle photography"", ""bamboo surface"", ""warm lighting""]"
MB150,lifestyle_wellness,POLAR,"Product photography of a white cold plunge tub placed to the right of a blue towel on a clean bathroom floor, POLAR on tub side, bright clean lighting","[""cold plunge tub"", ""towel""]","{""cold plunge tub"": ""white"", ""towel"": ""blue""}","[""cold plunge tub right of towel""]","[""POLAR""]","[""product photography"", ""white floor"", ""bright lighting""]"
