prompt_id,category,image_id,caption_en,caption_translated,back_translated,cc_score,status,language
P013,people,554156,A man holding a tennis racket in the air,رجل يمسك بمضرب تنس في الهواء,Man holding a tennis racket in the air,0.9941,PASS,ar
P014,vehicles,152771,A bike in the middle of an empty parking lot next to trees,دراجة في وسط موقف سيارات فارغ بجوار الأشجار,Bike in the middle of an empty car park next to trees,0.9794,PASS,ar
P015,vehicles,86220,A car and a public transit vehicle on a road.,سيارة ومركبة نقل عام على الطريق.,A car and a public transport vehicle on the road.,0.9917,PASS,ar
P016,vehicles,245448,A man standing with his motorcycle outside of a repair shop.,رجل يقف بدراجته النارية خارج ورشة تصليح.,A man stands with his motorbike outside a repair shop.,0.9884,PASS,ar
P017,vehicles,571264,a man is standing next to a motorcycle outside,رجل يقف إلى جانب دراجة نارية في الخارج,A man stands next to a motorbike outside,0.9806,PASS,ar
P018,vehicles,89556,A couple of silver cars parked around a fire hydrant.,سيارتان فضيّتان متوقفتان حول صنبور إطفاء الحريق.,Two silver cars parked around the fire hydrant.,0.9917,PASS,ar
P019,vehicles,269632,A bright yellow transit bus is making it's way down a street in the dark.,حافلة نقل صفراء زاهية اللون تشق طريقها في الشارع في الظلام.,A bright yellow bus makes its way down the street in the dark.,0.9854,PASS,ar
P020,vehicles,574425,Two old fashioned buses parked on the side of the road.,حافلتان من الطراز القديم متوقفتان على جانب الطريق.,Two old-fashioned buses are parked on the side of the road.,0.9863,PASS,ar
P021,vehicles,48924,A dirt bike parked near a tent in the woods.,دراجة ترابية متوقفة بالقرب من خيمة في الغابة.,A dirt bike parked near a tent in the forest.,0.9901,PASS,ar
P022,vehicles,516143,a green and white bus is on the street,حافلة خضراء وبيضاء في الشارع,Green and white bus on the street,0.9833,PASS,ar
P023,vehicles,259830,A moped is parked next to bicycles on a sidewalk.,دراجة بخارية متوقفة بجانب الدراجات على الرصيف.,A motorbike parked next to bicycles on the pavement.,0.9722,PASS,ar
P024,vehicles,286507,A long red train traveling through snow covered country side.,قطار طويل أحمر اللون يسافر عبر الجانب الريفي المغطى بالثلوج.,A long red train travelling through the snow-covered countryside.,0.9878,PASS,ar
P025,vehicles,134722,Fast commuter train moving past an outdoor platform.,قطار ركاب سريع يمر من أمام رصيف خارجي.,An express passenger train passes in front of an outdoor platform.,0.9026,PASS,ar
P026,vehicles,137727,A motorized cart fills a train with luggage,عربة بمحرك تملأ قطاراً بالأمتعة,Motorised trolley fills a train with luggage,0.9555,PASS,ar
P027,food,460929,A hot dog with mustard is next to a bottle of soda.,هوت دوج مع الخردل بجانب زجاجة صودا.,Hot dog with mustard next to a bottle of soda.,0.9866,PASS,ar
P028,food,47112,A dining table has a large pizza and wine glasses.,تحتوي طاولة الطعام على بيتزا كبيرة وكؤوس نبيذ.,The dining table has large pizzas and wine glasses.,0.9823,PASS,ar
P029,food,99053,"A bowl of noodles, meat and broccoli with a fork.",وعاء من النودلز واللحم والبروكلي بالشوكة.,"A bowl of noodles, meat and broccoli with a fork.",1.0,PASS,ar
P030,food,91406,Several women gathered together posing with 6 pizzas in take out boxes.,اجتمعت عدة نساء معًا وهن يحملن 6 قطع بيتزا في صناديق إخراجها.,Several women gathered together carrying 6 pizzas in their takeaway boxes.,0.9636,PASS,ar
P031,food,108253,A plate of cheese bread next to bread sticks and wine.,طبق من خبز الجبن بجانب أصابع الخبز والنبيذ.,A plate of cheese bread with a side of breadsticks and wine.,0.9817,PASS,ar
P032,food,371472,A pile of pineapple sitting next to a pile of bananas.,كومة من الأناناس بجانب كومة من الموز.,A stack of pineapple next to a stack of bananas.,0.9475,PASS,ar
P033,food,66706,A plate topped with banana slice covered pan cakes.,طبق مغطى بقطع الموز المغطاة بقطع الموز.,Plate topped with banana slices.,0.9511,PASS,ar
P034,food,348708,The banana is laying next to an almost empty bowl.,الموزة موضوعة بجانب وعاء شبه فارغ.,The banana is placed next to a semi-empty bowl.,0.9656,PASS,ar
P035,food,323151,A pizza sitting on top of a white plate next to a glass of beer.,بيتزا موضوعة فوق طبق أبيض بجانب كأس من البيرة.,Pizza placed on a white plate next to a glass of beer.,0.9799,PASS,ar
P036,food,286908,Various dishes of food sit in bowls on a table.,أطباق مختلفة من الطعام موضوعة في أوعية على الطاولة.,Different dishes of food placed in bowls on the table.,0.986,PASS,ar
P037,food,112378,A wooden table topped with a bunch of green bananas.,طاولة خشبية تعلوها مجموعة من الموز الأخضر.,A wooden table with a bunch of green bananas on top.,0.9943,PASS,ar
P038,food,75456,A pizza with Canadian bacon and pineapple in a fluted pan.,بيتزا مع لحم الخنزير المقدد الكندي والأناناس في مقلاة مخدد.,Pizza with Canadian bacon and pineapple in a fluted pan.,0.9919,PASS,ar
P039,animals,193162,a man on a three wheeler following behind a two dogs and a cow,رجل على عربة بثلاث عجلات يتبعه كلبان وبقرة,A man on a three-wheeler followed by two dogs and a cow,0.9825,PASS,ar
P040,animals,90062,A black and white cow stands in a paddock with firewood in the background.,بقرة بيضاء وسوداء تقف في حقل مع حطب في الخلفية.,Black and white cow standing in a field with firewood in the background.,0.9522,PASS,ar
P041,animals,155571,An elephant walking across a green grass covered field.,فيل يمشي عبر حقل مغطى بالعشب الأخضر.,An elephant walks across a field covered in green grass.,0.987,PASS,ar
P042,animals,357060,A bird is trying to find food in the water.,طائر يحاول العثور على الطعام في الماء.,A bird trying to find food in the water.,0.9936,PASS,ar
P043,animals,345261,Two giraffe standing on to of a dry grass covered field.,زرافتان تقفان على حقل مغطى بالعشب الجاف.,Two giraffes stand on a field covered with dry grass.,0.985,PASS,ar
P044,animals,347664,A herd of cattle walking across a sandy beach near the ocean.,قطيع من الماشية يسير على شاطئ رملي بالقرب من المحيط.,A herd of cattle walking on a sandy beach near the ocean.,0.9992,PASS,ar
P045,animals,222235,A cat is playing with a plan in a park.,قطة تلعب بخطة في الحديقة.,A cat playing with a plan in the garden.,0.9408,PASS,ar
P046,animals,180011,"Four young giraffes in a zoo, with one of them being fed leaves by a person",أربع زرافات صغيرة في حديقة حيوانات، وإحداها يطعمها شخص أوراق الشجر,"Four baby giraffes in a zoo, one of which is being fed leaves by a person",0.9681,PASS,ar
P047,animals,512648,A brown cow under a tree in a grassy area.,بقرة بنية اللون تحت شجرة في منطقة عشبية.,A brown cow under a tree in a grassy area.,1.0,PASS,ar
P048,animals,547383,Two adult sheep lay on the green grass.,يرقد خروفان بالغان على العشب الأخضر.,Two adult sheep lie on the green grass.,0.992,PASS,ar
P049,animals,357081,A photograph of two cows grazing on a green pasture.,صورة لبقرتين ترعيان في مرعى أخضر.,Image of two cows grazing in a green pasture.,0.9925,PASS,ar
P050,animals,1675,A cat resting on an open laptop computer.,قطة تستريح على كمبيوتر محمول مفتوح.,A cat resting on an open laptop.,0.9769,PASS,ar
