brief_id,language,category,extracted_value,ground_truth_value
MB098,fr,colours,<missing>,silver
MB098,fr,spatial_constraints,"[('compact car', 'left', 'parking sign')]","('city car', 'left', 'parking sign')"
MB103,fr,objects,"['berline', 'siège enfant']",family sedan
MB103,fr,objects,"['berline', 'siège enfant']",child seat
MB103,fr,colours,<missing>,white
MB103,fr,colours,<missing>,black
MB103,fr,spatial_constraints,"[('siège enfant', 'right', 'berline')]","('child seat', 'right', 'family sedan')"
MB104,fr,objects,"['spare wheel', 'vehicle']",spare tire
MB104,fr,colours,<missing>,black
MB104,fr,spatial_constraints,"[('vehicle', 'left', 'spare wheel')]","('off road vehicle', 'left', 'spare tire')"
MB105,fr,objects,"['berline', 'porte clé']",sedan
MB105,fr,objects,"['berline', 'porte clé']",key fob
MB105,fr,colours,<missing>,black
MB105,fr,colours,<missing>,gold
MB105,fr,spatial_constraints,"[('berline', 'above', 'porte clé')]","('sedan', 'above', 'key fob')"
MB108,fr,objects,"['camionnette', 'carton']",delivery van
MB108,fr,objects,"['camionnette', 'carton']",cardboard box
MB108,fr,colours,<missing>,white
MB108,fr,colours,<missing>,brown
MB108,fr,spatial_constraints,"[('camionnette', 'left', 'carton')]","('delivery van', 'left', 'cardboard box')"
MB108,fr,required_text,[],ZOOM
MB109,fr,objects,"['camping car', 'tente']",camping tent
MB109,fr,objects,"['camping car', 'tente']",campervan
MB109,fr,colours,<missing>,beige
MB109,fr,colours,<missing>,green
MB109,fr,spatial_constraints,"[('camping car', 'left', 'tente')]","('campervan', 'left', 'camping tent')"
MB110,fr,objects,"['car', 'gas pump']",fuel pump
MB110,fr,colours,<missing>,silver
MB110,fr,spatial_constraints,"[('car', 'left', 'gas pump')]","('vintage car', 'left', 'fuel pump')"
MB111,fr,objects,['car'],roof rack
MB111,fr,objects,['car'],sports hatchback
MB111,fr,colours,<missing>,black
MB111,fr,colours,<missing>,silver
MB111,fr,spatial_constraints,[],"('roof rack', 'above', 'sports hatchback')"
MB112,fr,objects,['car'],siren light
MB112,fr,colours,<missing>,red
MB115,fr,objects,"['limousine', 'tapi']",red carpet
MB115,fr,colours,<missing>,red
MB115,fr,spatial_constraints,[],"('limousine', 'above', 'red carpet')"
MB120,fr,objects,"['cône de piste', 'superbike']",track cone
MB120,fr,colours,<missing>,black
MB120,fr,spatial_constraints,"[('superbike', 'right', 'cône de piste')]","('superbike', 'right', 'track cone')"
MB123,fr,objects,"['sport bag', 'towel']",gym bag
MB123,fr,colours,<missing>,black
MB123,fr,spatial_constraints,"[('sport bag', 'left', 'towel')]","('gym bag', 'left', 'towel')"
MB124,fr,objects,['pot de crème'],flower
MB124,fr,objects,['pot de crème'],face cream jar
MB124,fr,colours,<missing>,white
MB124,fr,colours,<missing>,pink
MB124,fr,spatial_constraints,"[('pot de crème', 'above', 'flower')]","('face cream jar', 'above', 'flower')"
MB125,fr,objects,"['haltère', 'shaker', 'tapis de gym']",dumbbell
MB125,fr,colours,noir,black
MB125,fr,colours,<missing>,silver
MB125,fr,spatial_constraints,"[('shaker', 'left', 'haltère')]","('protein shaker', 'left', 'dumbbell')"
MB126,fr,objects,"['bougie', 'coussin de méditation']",meditation cushion
MB126,fr,objects,"['bougie', 'coussin de méditation']",candle
MB126,fr,colours,<missing>,purple
MB126,fr,colours,<missing>,white
MB126,fr,spatial_constraints,"[('coussin de méditation', 'left', 'bougie')]","('meditation cushion', 'left', 'candle')"
MB130,fr,spatial_constraints,[],"('sleep mask', 'above', 'pillow')"
MB131,fr,objects,"['notebook', 'pen']",journal
MB131,fr,colours,<missing>,white
MB131,fr,spatial_constraints,"[('notebook', 'left', 'pen')]","('journal', 'left', 'pen')"
MB132,fr,objects,"['smartphone', 'sport watch']",fitness watch
MB132,fr,colours,<missing>,black
MB132,fr,spatial_constraints,"[('sport watch', 'left', 'smartphone')]","('fitness watch', 'left', 'smartphone')"
MB134,fr,objects,"['pot de poudre de collagène', 'verre']",glass
MB134,fr,objects,"['pot de poudre de collagène', 'verre']",collagen powder jar
MB134,fr,colours,<missing>,white
MB134,fr,colours,<missing>,pink
MB134,fr,spatial_constraints,"[('pot de poudre de collagène', 'left', 'verre')]","('collagen powder jar', 'left', 'glass')"
MB135,fr,objects,"['sachet', 'thermo']",trail mix bag
MB135,fr,colours,<missing>,brown
MB135,fr,spatial_constraints,"[('thermo', 'left', 'sachet')]","('thermo', 'left', 'trail mix bag')"
MB138,fr,objects,"['emballage blister', 'flacon de vitamine']",vitamin bottle
MB138,fr,objects,"['emballage blister', 'flacon de vitamine']",blister pack
MB138,fr,colours,<missing>,orange
MB138,fr,colours,<missing>,silver
MB138,fr,spatial_constraints,"[('flacon de vitamine', 'right', 'emballage blister')]","('blister pack', 'left', 'vitamin bottle')"
MB141,fr,spatial_constraints,[],"('towel', 'above', 'water bottle')"
MB142,fr,objects,"['oreiller', ""tapis d'acupression""]",pillow
MB142,fr,objects,"['oreiller', ""tapis d'acupression""]",acupressure mat
MB142,fr,colours,<missing>,purple
MB142,fr,colours,<missing>,white
MB142,fr,spatial_constraints,"[(""tapis d'acupression"", 'right', 'oreiller')]","('acupressure mat', 'right', 'pillow')"
MB144,fr,objects,"['sac', 'shaker']",protein powder bag
MB144,fr,colours,<missing>,black
MB144,fr,colours,rouge,red
MB144,fr,spatial_constraints,"[('sac', 'right', 'shaker')]","('protein powder bag', 'right', 'shaker bottle')"
MB146,fr,objects,"['stretch strap', 'yoga mat']",stretching strap
MB146,fr,colours,<missing>,blue
MB146,fr,spatial_constraints,"[('stretch strap', 'below', 'yoga mat')]","('stretching strap', 'below', 'yoga mat')"
MB149,fr,objects,"['chapelet de méditation', 'porte encen', 'support']",incense holder
MB149,fr,objects,"['chapelet de méditation', 'porte encen', 'support']",meditation bead
MB149,fr,colours,<missing>,black
MB149,fr,colours,<missing>,brown
MB149,fr,spatial_constraints,"[('porte encen', 'right', 'chapelet de méditation')]","('incense holder', 'right', 'meditation bead')"
MB150,fr,objects,"['bathtub', 'towel']",cold plunge tub
MB150,fr,colours,<missing>,white
MB150,fr,spatial_constraints,"[('bathtub', 'right', 'towel')]","('cold plunge tub', 'right', 'towel')"
MB003,es,objects,"['charging case', 'wireless headphone']",wireless earbud
MB003,es,colours,<missing>,white
MB003,es,spatial_constraints,"[('wireless headphone', 'above', 'charging case')]","('wireless earbud', 'above', 'charging case')"
MB004,es,objects,"['smartphone', 'support']",metal stand
MB004,es,colours,<missing>,silver
MB004,es,spatial_constraints,"[('smartphone', 'above', 'support')]","('smartphone', 'above', 'metal stand')"
MB005,es,objects,"['stylu', 'tablet']",stylus pen
MB005,es,colours,<missing>,gold
MB005,es,spatial_constraints,"[('stylu', 'right', 'tablet')]","('stylus pen', 'right', 'tablet')"
MB008,es,colours,black,silver
MB009,es,objects,"['gaming headphone', 'video game controller']",gaming controller
MB009,es,objects,"['gaming headphone', 'video game controller']",gaming headset
MB009,es,colours,<missing>,white
MB009,es,colours,<missing>,black
MB009,es,spatial_constraints,"[('video game controller', 'left', 'gaming headphone')]","('gaming controller', 'left', 'gaming headset')"
MB010,es,objects,"['remote control', 'smart screen']",smart display
MB010,es,colours,<missing>,black
MB010,es,spatial_constraints,"[('remote control', 'below', 'smart screen')]","('remote control', 'below', 'smart display')"
MB011,es,objects,"['portable charger', 'usb cable']",power bank
MB011,es,colours,<missing>,white
MB011,es,spatial_constraints,"[('usb cable', 'below', 'portable charger')]","('usb cable', 'below', 'power bank')"
MB012,es,objects,"['coffee cup', 'desk', 'laptop']",coffee mug
MB012,es,colours,<missing>,white
MB012,es,spatial_constraints,"[('coffee cup', 'right', 'laptop')]","('coffee mug', 'right', 'laptop')"
MB013,es,objects,"['smartphone', 'wireless headphone']",wireless earbud
MB013,es,colours,<missing>,white
MB013,es,spatial_constraints,"[('wireless headphone', 'above', 'smartphone')]","('wireless earbud', 'above', 'smartphone')"
MB015,es,objects,"['action camera', 'bicycle helmet']",cycling helmet
MB015,es,colours,<missing>,white
MB015,es,spatial_constraints,"[('action camera', 'left', 'bicycle helmet')]","('action camera', 'left', 'cycling helmet')"
MB017,es,objects,"['motion controller', 'virtual reality glass']",vr headset
MB017,es,colours,<missing>,white
MB017,es,spatial_constraints,"[('virtual reality glass', 'above', 'motion controller')]","('vr headset', 'above', 'motion controller')"
MB019,es,colours,grey,gray
MB022,es,objects,"['headphone', 'stand']",gaming headset
MB022,es,colours,<missing>,black
MB022,es,colours,black,white
MB022,es,spatial_constraints,[],"('gaming headset', 'above', 'headphone stand')"
MB023,es,objects,"['activity bracelet', 'smartphone']",fitness tracker
MB023,es,colours,<missing>,black
MB023,es,spatial_constraints,"[('activity bracelet', 'left', 'smartphone')]","('fitness tracker', 'left', 'smartphone')"
MB026,es,spatial_constraints,"[('ssd', 'right', 'usb cable')]","('usb cable', 'right', 'portable ssd')"
MB027,es,objects,"['nightstand', 'smartphone', 'wireless charger']",wireless charging pad
MB027,es,colours,<missing>,white
MB027,es,spatial_constraints,[],"('smartphone', 'above', 'wireless charging pad')"
MB028,es,colours,white,silver
MB028,es,spatial_constraints,"[('smart lock', 'above', 'doorknob')]","('smart lock', 'above', 'door handle')"
MB030,es,objects,"['mouse', 'mouse pad']",mousepad
MB030,es,colours,<missing>,red
MB030,es,spatial_constraints,"[('mouse', 'above', 'mouse pad')]","('gaming mouse', 'above', 'mousepad')"
MB036,es,objects,"['cup', 'saucer', 'tea box']",teacup
MB036,es,colours,blue green,teal
MB036,es,colours,<missing>,white
MB036,es,spatial_constraints,"[('cup', 'above', 'saucer'), ('tea box', 'above', 'cup')]","('tea box', 'above', 'teacup')"
MB038,es,objects,['bottle'],lemon
MB038,es,colours,<missing>,yellow
MB042,es,objects,"['bote de proteína', 'botella mezcladora']",shaker bottle
MB042,es,objects,"['bote de proteína', 'botella mezcladora']",protein powder jar
MB042,es,colours,<missing>,black
MB042,es,colours,<missing>,white
MB042,es,spatial_constraints,"[('bote de proteína', 'left', 'botella mezcladora')]","('protein powder jar', 'left', 'shaker bottle')"
MB044,es,objects,"['banana', 'muesli bar']",granola bar
MB044,es,colours,<missing>,brown
MB044,es,spatial_constraints,"[('muesli bar', 'left', 'banana')]","('granola bar', 'left', 'banana')"
MB050,es,objects,['tablet'],chocolate bar
MB050,es,objects,['tablet'],wrapper
MB050,es,colours,<missing>,brown
MB050,es,colours,<missing>,gold
MB050,es,spatial_constraints,[],"('chocolate bar', 'above', 'wrapper')"
MB054,es,objects,"['bottle', 'bundle of mint twig']",mint sprig
MB054,es,colours,<missing>,green
MB054,es,spatial_constraints,"[('bottle', 'above', 'bundle of mint twig')]","('water bottle', 'above', 'mint sprig')"
MB055,es,objects,"['can', 'whisk']",matcha tin
MB055,es,colours,<missing>,green
MB055,es,spatial_constraints,"[('can', 'right', 'whisk')]","('matcha tin', 'right', 'bamboo whisk')"
MB056,es,objects,"['cartón de leche de avena', 'cuenco de cerámica', 'mesa de madera']",ceramic bowl
MB056,es,objects,"['cartón de leche de avena', 'cuenco de cerámica', 'mesa de madera']",oat milk carton
MB056,es,colours,<missing>,white
MB056,es,colours,<missing>,brown
MB056,es,spatial_constraints,"[('cartón de leche de avena', 'right', 'cuenco de cerámica')]","('oat milk carton', 'right', 'ceramic bowl')"
MB061,es,objects,"['box', 'sneaker']",shoebox
MB061,es,colours,<missing>,red
MB061,es,spatial_constraints,"[('sneaker', 'above', 'box')]","('sneaker', 'above', 'shoebox')"
MB062,es,spatial_constraints,[],"('leather jacket', 'above', 'wooden hanger')"
MB064,es,objects,"['leather case', 'wristwatch']",watch box
MB064,es,colours,<missing>,black
MB064,es,spatial_constraints,"[('wristwatch', 'above', 'leather case')]","('wristwatch', 'above', 'watch box')"
MB066,es,objects,"['sneaker', 'sock']",running shoe
MB066,es,colours,<missing>,blue
MB066,es,spatial_constraints,"[('sneaker', 'left', 'sock')]","('running shoe', 'left', 'athletic sock')"
MB069,es,spatial_constraints,[],"('canvas sneaker', 'above', 'skateboard')"
MB074,es,objects,"['bufanda', 'jersey']",knit scarf
MB074,es,objects,"['bufanda', 'jersey']",wool sweater
MB074,es,colours,<missing>,gray
MB074,es,colours,<missing>,white
MB074,es,spatial_constraints,"[('jersey', 'above', 'bufanda')]","('wool sweater', 'above', 'knit scarf')"
MB077,es,objects,"['hoodie', 'sweatpant']",jogger pant
MB077,es,colours,<missing>,black
MB077,es,spatial_constraints,"[('hoodie', 'above', 'sweatpant')]","('hoodie', 'above', 'jogger pant')"
MB078,es,colours,cinnamon,tan
MB080,es,objects,"['running shoe', 'short']",sneaker
MB080,es,colours,<missing>,white
MB080,es,spatial_constraints,"[('short', 'below', 'running shoe')]","('athletic short', 'below', 'sneaker')"
MB083,es,objects,"['casco', 'culote']",cycling helmet
MB083,es,objects,"['casco', 'culote']",cycling short
MB083,es,colours,<missing>,black
MB083,es,colours,<missing>,white
MB083,es,spatial_constraints,"[('culote', 'right', 'casco')]","('cycling short', 'right', 'cycling helmet')"
MB086,es,objects,"['handbag', 'shoe']",clutch bag
MB086,es,objects,"['handbag', 'shoe']",platform heel
MB086,es,colours,<missing>,black
MB086,es,colours,<missing>,red
MB086,es,spatial_constraints,"[('shoe', 'right', 'handbag')]","('platform heel', 'right', 'clutch bag')"
MB089,es,objects,"['legging', 'sneaker']",sports shoe
MB089,es,colours,<missing>,white
MB089,es,spatial_constraints,"[('legging', 'right', 'sneaker')]","('gym legging', 'right', 'sports shoe')"
MB090,es,colours,tawny,tan
MB093,es,objects,"['baca', 'suv']",roof rack
MB093,es,colours,<missing>,silver
MB093,es,spatial_constraints,"[('baca', 'above', 'suv')]","('roof rack', 'above', 'suv')"
MB103,es,objects,"['child seat', 'tourism']",family sedan
MB103,es,colours,<missing>,white
MB103,es,spatial_constraints,"[('child seat', 'right', 'tourism')]","('child seat', 'right', 'family sedan')"
MB104,es,objects,"['rueda de repuesto', 'todoterreno']",spare tire
MB104,es,objects,"['rueda de repuesto', 'todoterreno']",off road vehicle
MB104,es,colours,<missing>,brown
MB104,es,colours,<missing>,black
MB104,es,spatial_constraints,"[('todoterreno', 'left', 'rueda de repuesto')]","('off road vehicle', 'left', 'spare tire')"
MB105,es,objects,"['keychain', 'sedan']",key fob
MB105,es,colours,<missing>,gold
MB105,es,spatial_constraints,"[('sedan', 'above', 'keychain')]","('sedan', 'above', 'key fob')"
MB108,es,required_text,[],ZOOM
MB109,es,objects,"['motorhome', 'tent']",campervan
MB109,es,colours,<missing>,beige
MB109,es,spatial_constraints,"[('motorhome', 'left', 'tent')]","('campervan', 'left', 'camping tent')"
MB110,es,objects,"['car', 'gas pump']",fuel pump
MB110,es,colours,<missing>,silver
MB110,es,spatial_constraints,"[('car', 'left', 'gas pump')]","('vintage car', 'left', 'fuel pump')"
MB111,es,objects,"['car', 'roof rack']",sports hatchback
MB111,es,colours,<missing>,black
MB111,es,spatial_constraints,[],"('roof rack', 'above', 'sports hatchback')"
MB115,es,spatial_constraints,[],"('limousine', 'above', 'red carpet')"
MB118,es,objects,"['antena', 'todoterreno']",armored suv
MB118,es,objects,"['antena', 'todoterreno']",radio antenna
MB118,es,colours,<missing>,green
MB118,es,colours,<missing>,black
MB118,es,spatial_constraints,"[('antena', 'right', 'todoterreno')]","('radio antenna', 'right', 'armored suv')"
MB119,es,objects,"['mapa urbano', 'microcoche']",city map
MB119,es,objects,"['mapa urbano', 'microcoche']",micro car
MB119,es,colours,<missing>,red
MB119,es,colours,<missing>,white
MB119,es,spatial_constraints,"[('microcoche', 'right', 'mapa urbano')]","('micro car', 'right', 'city map')"
MB122,es,objects,"['capsule', 'jar']",supplement bottle
MB122,es,colours,<missing>,white
MB122,es,spatial_constraints,"[('capsule', 'right', 'jar')]","('capsule', 'right', 'supplement bottle')"
MB124,es,objects,['jar'],flower
MB124,es,colours,<missing>,pink
MB128,es,objects,"['elastic band', 'water bottle']",resistance band
MB128,es,colours,<missing>,red
MB128,es,spatial_constraints,"[('elastic band', 'left', 'water bottle')]","('resistance band', 'left', 'water bottle')"
MB129,es,objects,"['diffuser', 'jar']",essential oil bottle
MB129,es,colours,<missing>,brown
MB129,es,spatial_constraints,"[('jar', 'left', 'diffuser')]","('essential oil bottle', 'left', 'ceramic diffuser')"
MB131,es,objects,"['diary', 'pen']",journal
MB131,es,colours,<missing>,white
MB131,es,spatial_constraints,"[('diary', 'left', 'pen')]","('journal', 'left', 'pen')"
MB132,es,objects,"['smartphone', 'sports watch']",fitness watch
MB132,es,colours,<missing>,black
MB132,es,spatial_constraints,"[('sports watch', 'left', 'smartphone')]","('fitness watch', 'left', 'smartphone')"
MB142,es,objects,"['almohada rectangular', 'esterilla de acupresión']",pillow
MB142,es,objects,"['almohada rectangular', 'esterilla de acupresión']",acupressure mat
MB142,es,colours,<missing>,purple
MB142,es,colours,<missing>,white
MB142,es,spatial_constraints,"[('esterilla de acupresión', 'right', 'almohada rectangular')]","('acupressure mat', 'right', 'pillow')"
MB143,es,objects,"['nutritional bar wrapper', 'water bottle']",nutrition bar
MB143,es,colours,<missing>,green
MB143,es,spatial_constraints,"[('nutritional bar wrapper', 'above', 'water bottle')]","('nutrition bar', 'above', 'water bottle')"
MB146,es,objects,"['elastic band', 'yoga mat']",stretching strap
MB146,es,colours,<missing>,blue
MB146,es,spatial_constraints,"[('elastic band', 'below', 'yoga mat')]","('stretching strap', 'below', 'yoga mat')"
MB147,es,objects,"['jar', 'lamp', 'nightstand']",supplement bottle
MB147,es,colours,<missing>,white
MB147,es,spatial_constraints,"[('jar', 'right', 'lamp')]","('supplement bottle', 'right', 'moon lamp')"
MB149,es,objects,"['incense holder', 'meditation rosary']",meditation bead
MB149,es,colours,<missing>,brown
MB149,es,spatial_constraints,"[('incense holder', 'right', 'meditation rosary')]","('incense holder', 'right', 'meditation bead')"
MB150,es,objects,"['bathtub', 'towel']",cold plunge tub
MB150,es,colours,<missing>,white
MB150,es,spatial_constraints,"[('bathtub', 'right', 'towel')]","('cold plunge tub', 'right', 'towel')"
MB003,ar,objects,"['charging case', 'wireless earphone']",wireless earbud
MB003,ar,colours,<missing>,white
MB003,ar,spatial_constraints,"[('wireless earphone', 'above', 'charging case')]","('wireless earbud', 'above', 'charging case')"
MB005,ar,objects,"['disk', 'stylu']",stylus pen
MB005,ar,objects,"['disk', 'stylu']",tablet
MB005,ar,colours,<missing>,white
MB005,ar,colours,<missing>,gold
MB005,ar,spatial_constraints,"[('disk', 'right', 'stylu')]","('stylus pen', 'right', 'tablet')"
MB008,ar,colours,black,silver
MB009,ar,objects,"['game controller', 'gaming headset']",gaming controller
MB009,ar,colours,<missing>,white
MB009,ar,spatial_constraints,"[('game controller', 'left', 'gaming headset'), ('gaming headset', 'above', 'surface')]","('gaming controller', 'left', 'gaming headset')"
MB010,ar,objects,"['remote control', 'smart screen']",smart display
MB010,ar,colours,<missing>,black
MB010,ar,spatial_constraints,"[('remote control', 'below', 'smart screen')]","('remote control', 'below', 'smart display')"
MB011,ar,objects,"['charger', 'usb cable']",power bank
MB011,ar,colours,<missing>,white
MB011,ar,spatial_constraints,"[('usb cable', 'below', 'charger')]","('usb cable', 'below', 'power bank')"
MB012,ar,objects,"['coffee cup', 'desk', 'laptop']",coffee mug
MB012,ar,colours,<missing>,white
MB012,ar,spatial_constraints,"[('coffee cup', 'right', 'laptop')]","('coffee mug', 'right', 'laptop')"
MB014,ar,objects,"['desk', 'screen', 'webcam']",monitor
MB014,ar,colours,<missing>,white
MB014,ar,spatial_constraints,"[('webcam', 'above', 'screen')]","('webcam', 'above', 'monitor')"
MB018,ar,objects,"['desk', 'keyboard', 'screen']",curved monitor
MB018,ar,colours,<missing>,black
MB018,ar,spatial_constraints,"[('keyboard', 'below', 'screen')]","('keyboard', 'below', 'curved monitor')"
MB021,ar,objects,"['desktop', 'laptop', 'usb distributor']",usb hub
MB021,ar,colours,<missing>,gray
MB021,ar,spatial_constraints,"[('laptop', 'above', 'desktop'), ('usb distributor', 'left', 'laptop')]","('usb hub', 'left', 'laptop')"
MB027,ar,objects,"['nightstand', 'smartphone', 'wireless charger']",wireless charging pad
MB027,ar,colours,<missing>,white
MB027,ar,spatial_constraints,"[('smartphone', 'above', 'wireless charger')]","('smartphone', 'above', 'wireless charging pad')"
MB030,ar,objects,"['gaming mouse', 'mouse pad']",mousepad
MB030,ar,colours,<missing>,red
MB030,ar,spatial_constraints,[],"('gaming mouse', 'above', 'mousepad')"
MB036,ar,objects,"['ceramic cup', 'small plate', 'tea box']",teacup
MB036,ar,colours,blue green,teal
MB036,ar,colours,<missing>,white
MB036,ar,spatial_constraints,"[('ceramic cup', 'above', 'small plate'), ('tea box', 'above', 'ceramic cup')]","('tea box', 'above', 'teacup')"
MB039,ar,objects,"['strawberry', 'yogurt bowl']",yogurt container
MB039,ar,colours,<missing>,white
MB039,ar,spatial_constraints,"[('yogurt bowl', 'left', 'strawberry')]","('yogurt container', 'left', 'strawberry')"
MB040,ar,objects,"['box', 'cup']",cookie tin
MB040,ar,objects,"['box', 'cup']",glass of milk
MB040,ar,colours,<missing>,red
MB040,ar,colours,<missing>,white
MB040,ar,spatial_constraints,"[('box', 'right', 'cup')]","('glass of milk', 'left', 'cookie tin')"
MB042,ar,objects,"['container', 'shaker bottle']",protein powder jar
MB042,ar,colours,<missing>,black
MB042,ar,spatial_constraints,"[('container', 'left', 'shaker bottle')]","('protein powder jar', 'left', 'shaker bottle')"
MB045,ar,required_text,"['أومبر', 'كولد برو']",UMBER
MB046,ar,objects,"['lemon', 'water bottle']",sparkling water can
MB046,ar,objects,"['lemon', 'water bottle']",lime
MB046,ar,colours,<missing>,blue
MB046,ar,colours,<missing>,green
MB046,ar,spatial_constraints,"[('lemon', 'above', 'marble'), ('water bottle', 'left', 'lemon')]","('sparkling water can', 'left', 'lime')"
MB048,ar,objects,"['fresh raspberry', 'smoothie bottle']",berry
MB048,ar,colours,<missing>,red
MB048,ar,spatial_constraints,"[('smoothie bottle', 'left', 'fresh raspberry')]","('smoothie bottle', 'left', 'berry')"
MB049,ar,objects,"['bamboo leg', 'glass teapot']",bamboo stalk
MB049,ar,objects,"['bamboo leg', 'glass teapot']",tea bottle
MB049,ar,colours,<missing>,white
MB049,ar,colours,<missing>,green
MB049,ar,spatial_constraints,"[('glass teapot', 'right', 'bamboo leg')]","('tea bottle', 'right', 'bamboo stalk')"
MB050,ar,objects,['chocolate'],wrapper
MB050,ar,colours,<missing>,gold
MB050,ar,spatial_constraints,"[('chocolate', 'above', 'black marble')]","('chocolate bar', 'above', 'wrapper')"
MB051,ar,objects,"['juice box', 'straw']",juice pouch
MB051,ar,colours,<missing>,orange
MB051,ar,spatial_constraints,"[('juice box', 'right', 'straw')]","('juice pouch', 'right', 'wooden straw')"
MB052,ar,spatial_constraints,"[('bowl', 'above', 'bread')]","('almond butter jar', 'above', 'bread')"
MB054,ar,objects,"['marble surface', 'mint branch', 'water bottle']",mint sprig
MB054,ar,colours,<missing>,green
MB054,ar,spatial_constraints,"[('mint branch', 'above', 'marble surface'), ('water bottle', 'above', 'mint branch')]","('water bottle', 'above', 'mint sprig')"
MB055,ar,objects,"['bamboo whisk', 'ceramic surface', 'matcha box']",matcha tin
MB055,ar,colours,<missing>,green
MB055,ar,spatial_constraints,"[('matcha box', 'right', 'bamboo whisk')]","('matcha tin', 'right', 'bamboo whisk')"
MB057,ar,colours,brown,white
MB057,ar,spatial_constraints,"[('box', 'right', 'coconut')]","('coconut water can', 'right', 'coconut')"
MB061,ar,objects,"['box', 'sneaker']",shoebox
MB061,ar,colours,<missing>,red
MB061,ar,spatial_constraints,"[('sneaker', 'above', 'box')]","('sneaker', 'above', 'shoebox')"
MB063,ar,colours,light brown,tan
MB064,ar,objects,"['box', 'watch']",wristwatch
MB064,ar,colours,<missing>,gold
MB064,ar,colours,gold,black
MB064,ar,spatial_constraints,"[('watch', 'above', 'box')]","('wristwatch', 'above', 'watch box')"
MB068,ar,objects,"['handbag', 'scarf']",leather tote bag
MB068,ar,colours,<missing>,brown
MB068,ar,spatial_constraints,"[('handbag', 'left', 'scarf')]","('leather tote bag', 'left', 'silk scarf')"
MB069,ar,objects,"['shoe', 'skateboard']",canvas sneaker
MB069,ar,colours,<missing>,white
MB069,ar,spatial_constraints,"[('shoe', 'above', 'skateboard')]","('canvas sneaker', 'above', 'skateboard')"
MB072,ar,objects,"['belt', 'shoe']",chelsea boot
MB072,ar,colours,<missing>,black
MB072,ar,spatial_constraints,"[('shoe', 'left', 'belt')]","('chelsea boot', 'left', 'leather belt')"
MB075,ar,objects,"['sunscreen bottle', 'swimwear']",swimsuit
MB075,ar,colours,<missing>,orange
MB075,ar,spatial_constraints,"[('swimwear', 'left', 'sunscreen bottle')]","('swimsuit', 'left', 'sunscreen bottle')"
MB076,ar,colours,dark blue,navy
MB077,ar,objects,"['jacket', 'pant']",hoodie
MB077,ar,colours,<missing>,gray
MB077,ar,spatial_constraints,"[('jacket', 'above', 'pant')]","('hoodie', 'above', 'jogger pant')"
MB078,ar,objects,"['handbag', 'shoe']",briefcase
MB078,ar,colours,<missing>,tan
MB078,ar,spatial_constraints,"[('shoe', 'left', 'handbag')]","('dress shoe', 'left', 'briefcase')"
MB080,ar,objects,"['shoe', 'short']",sneaker
MB080,ar,colours,<missing>,white
MB080,ar,spatial_constraints,"[('short', 'below', 'shoe')]","('athletic short', 'below', 'sneaker')"
MB083,ar,objects,"['bicycle helmet', 'bicycle short']",cycling helmet
MB083,ar,objects,"['bicycle helmet', 'bicycle short']",cycling short
MB083,ar,colours,<missing>,black
MB083,ar,colours,<missing>,white
MB083,ar,spatial_constraints,"[('bicycle short', 'right', 'bicycle helmet')]","('cycling short', 'right', 'cycling helmet')"
MB085,ar,colours,dark blue,navy
MB086,ar,objects,"['clutch bag', 'shoe']",platform heel
MB086,ar,colours,<missing>,black
MB086,ar,spatial_constraints,"[('shoe', 'right', 'clutch bag')]","('platform heel', 'right', 'clutch bag')"
MB087,ar,objects,"['cargo pant', 'leather shoe']",leather boot
MB087,ar,colours,<missing>,brown
MB087,ar,spatial_constraints,"[('cargo pant', 'below', 'leather shoe')]","('cargo pant', 'below', 'leather boot')"
MB088,ar,colours,dark blue,navy
MB089,ar,objects,"['pant', 'sneaker']",sports shoe
MB089,ar,objects,"['pant', 'sneaker']",gym legging
MB089,ar,colours,<missing>,purple
MB089,ar,colours,<missing>,white
MB089,ar,spatial_constraints,"[('pant', 'right', 'sneaker')]","('gym legging', 'right', 'sports shoe')"
MB090,ar,colours,light brown,tan
MB093,ar,objects,"['car', 'roof rack']",suv
MB093,ar,colours,<missing>,black
MB093,ar,spatial_constraints,"[('roof rack', 'above', 'car')]","('roof rack', 'above', 'suv')"
MB099,ar,colours,yellow,silver
MB100,ar,colours,dark blue,navy
MB101,ar,objects,"['flag', 'race car']",racing car
MB101,ar,colours,<missing>,red
MB101,ar,spatial_constraints,"[('race car', 'left', 'flag')]","('racing car', 'left', 'checkered flag')"
MB103,ar,objects,"['car', 'child seat']",family sedan
MB103,ar,colours,<missing>,white
MB103,ar,spatial_constraints,"[('child seat', 'right', 'car')]","('child seat', 'right', 'family sedan')"
MB104,ar,objects,"['car', 'spare tire']",off road vehicle
MB104,ar,colours,<missing>,brown
MB104,ar,spatial_constraints,"[('car', 'left', 'spare tire')]","('off road vehicle', 'left', 'spare tire')"
MB105,ar,objects,"['car', 'key']",sedan
MB105,ar,colours,<missing>,black
MB105,ar,spatial_constraints,"[('car', 'above', 'key')]","('sedan', 'above', 'key fob')"
MB106,ar,objects,"['charging cable', 'electric bike']",electric bicycle
MB106,ar,colours,<missing>,white
MB106,ar,spatial_constraints,"[('electric bike', 'left', 'charging cable')]","('electric bicycle', 'left', 'charging cable')"
MB108,ar,objects,"['cardboard box', 'delivery truck']",delivery van
MB108,ar,colours,<missing>,white
