brief_id,language,extracted_objects_json,extracted_colours_json,extracted_spatial_json,extracted_text_json,extraction_error
MB018,de,"[""monitor"", ""keyboard"", ""glass table""]","{""monitor"": ""black"", ""keyboard"": ""silver"", ""glass table"": ""transparent""}","[""keyboard below of monitor""]","[""SPARK-Logo""]",
MB019,de,"[""quadcopter"", ""remote control""]","{""quadcopter"": ""black"", ""remote control"": ""grey""}","[""quadcopter left of remote control""]","[""VORTA-Logo""]",
MB020,de,"[""e-reader"", ""reading glasses""]","{""e-reader"": ""white"", ""reading glasses"": ""black""}","[""e-reader left of reading glasses""]","[""RIVOX""]",
MB021,de,"[""usb hub"", ""laptop""]","{""usb hub"": ""grey"", ""laptop"": ""silver""}","[""usb hub left of laptop""]","[""WAVE""]",
MB022,de,"[""gaming headset"", ""headphone stand""]","{""gaming headset"": ""black"", ""headphone stand"": ""white""}","[""gaming headset on top of headphone stand""]","[""XENON-Logo""]",
MB023,de,"[""fitness tracker"", ""smartphone""]","{""fitness tracker"": ""black"", ""smartphone"": ""white""}","[""fitness tracker left of smartphone""]","[""ZETA-Logo""]",
MB024,de,"[""projector"", ""remote control""]","{""projector"": ""white"", ""remote control"": ""black""}","[""projector above remote control""]","[""AXON-Logo""]",
MB025,de,"[""smart glasses"", ""glasses case""]","{""smart glasses"": ""rose gold"", ""glasses case"": ""black""}","[""smart glasses above glasses case""]","[""BREEZE-Logo""]",
MB026,de,"[""portable ssd"", ""usb cable""]","{""portable ssd"": ""silver"", ""usb cable"": ""blue""}","[""usb cable right of portable ssd""]","[""CREST""]",
MB027,de,"[""wireless charger"", ""smartphone"", ""nightstand""]","{""wireless charger"": ""white"", ""smartphone"": ""black"", ""nightstand"": ""wood""}","[""smartphone on top of wireless charger"", ""wireless charger on top of nightstand""]","[""DAWN""]",
MB028,de,"[""smart lock"", ""door handle"", ""door""]","{""smart lock"": ""black"", ""door handle"": ""silver"", ""door"": ""white""}","[""smart lock above door handle""]","[""NYRIC-Logo""]",
MB029,de,"[""wifi router"", ""ethernet cable""]","{""wifi router"": ""white"", ""ethernet cable"": ""yellow""}","[""ethernet cable below of wifi router""]","[""FUSE""]",
MB030,de,"[""gaming mouse"", ""mouse pad"", ""desk""]","{""gaming mouse"": ""black"", ""mouse pad"": ""red"", ""desk"": ""dark""}",[],"[""GRID-Logo""]",
MB031,de,"[""juice bottle"", ""ceramic cup""]","{""juice bottle"": ""orange"", ""ceramic cup"": ""white""}","[""juice bottle left of ceramic cup""]","[""ZEST""]",
MB032,de,"[""coffee bag"", ""espresso cup"", ""wooden table""]","{""coffee bag"": ""brown"", ""espresso cup"": ""black"", ""wooden table"": ""brown""}","[""coffee bag above espresso cup""]","[""PURE""]",
MB033,de,"[""m\u00fcslipackung"", ""milchkarton""]","{""m\u00fcslipackung"": ""yellow"", ""milchkarton"": ""white""}","[""m\u00fcslipackung left of milchkarton""]","[""BLOOM""]",
MB034,de,"[""bottle"", ""cutting board""]","{""bottle"": ""red"", ""cutting board"": ""brown""}","[""bottle right of cutting board""]","[""GROVE-Etikett""]",
MB035,de,"[""wine bottle"", ""grape""]","{""wine bottle"": ""green"", ""grape"": ""purple""}","[""wine bottle right of grape""]","[""FRESH""]",
MB036,de,"[""teedose"", ""keramik-teetasse"", ""untertasse""]","{""teedose"": ""blaugr\u00fcn"", ""keramik-teetasse"": ""wei\u00df"", ""untertasse"": ""wei\u00df""}","[""teedose above keramik-teetasse"", ""keramik-teetasse below teedose""]","[""CRISP""]",
MB037,de,"[""aluminium can"", ""dumbbell""]","{""aluminium can"": ""black"", ""dumbbell"": ""silver""}","[""aluminium can left of dumbbell""]","[""BOLD""]",
MB038,de,"[""drinking bottle"", ""lemon slice""]","{""drinking bottle"": ""blue"", ""lemon slice"": ""yellow""}","[""drinking bottle above lemon slice""]","[""MIST-Etikett""]",
MB039,de,"[""yogurt cup"", ""strawberry""]","{""yogurt cup"": ""white"", ""strawberry"": ""red""}","[""yogurt cup left of strawberry""]","[""GLOW""]",
MB040,de,"[""cookie jar"", ""glass of milk""]","{""cookie jar"": ""red"", ""glass of milk"": ""white""}","[""cookie jar right of glass of milk""]","[""PETAL""]",
MB041,de,"[""drink can"", ""ice bucket""]","{""drink can"": ""blue"", ""ice bucket"": ""silver""}","[""drink can left of ice bucket""]","[""QUENCH-Logo""]",
MB042,de,"[""protein powder container"", ""shaker bottle""]","{""protein powder container"": ""black"", ""shaker bottle"": ""white""}","[""protein powder container left of shaker bottle""]","[""RIPPLE""]",
MB043,de,"[""olive oil bottle"", ""garlic bulb""]","{""olive oil bottle"": ""green"", ""garlic bulb"": ""white""}","[""olive oil bottle above garlic bulb""]","[""SWAY-Etikett""]",
MB044,de,"[""m\u00fcsliriegel"", ""banane""]","{""m\u00fcsliriegel"": ""brown"", ""banane"": ""yellow""}","[""m\u00fcsliriegel left of banane""]","[""TEMPO""]",
MB045,de,"[""cold-brew coffee bottle"", ""metal straw""]","{""cold-brew coffee bottle"": ""brown"", ""metal straw"": ""silver""}","[""cold-brew coffee bottle left of metal straw""]","[""UMBER""]",
MB046,de,"[""sparkling water can"", ""lime""]","{""sparkling water can"": ""blue"", ""lime"": ""green""}","[""sparkling water can left of lime""]","[""VERDE""]",
MB047,de,"[""glass"", ""honey"", ""bread""]","{""glass"": ""clear"", ""honey"": ""amber"", ""bread"": ""brown""}","[""glass above bread""]","[""WARM""]",
MB048,de,"[""smoothie bottle"", ""berries""]","{""smoothie bottle"": ""purple"", ""berries"": ""red""}","[""smoothie bottle left of berries""]","[""XTRA-Etikett""]",
MB049,de,"[""teaflask"", ""bamboo""]","{""teaflask"": ""white"", ""bamboo"": ""green""}","[""teaflask right of bamboo""]","[""YUMA-Etikett""]",
MB050,de,"[""chocolate bar"", ""gold foil"", ""black marble surface""]","{""chocolate bar"": ""dark brown"", ""gold foil"": ""gold"", ""black marble surface"": ""black""}","[""chocolate bar on black marble surface""]","[""ZEAL""]",
MB051,de,"[""orange juice bag"", ""wood straw""]","{""orange juice bag"": ""orange"", ""wood straw"": ""brown""}","[""orange juice bag right of wood straw""]","[""AMBER""]",
MB052,de,"[""almond butter jar"", ""slice of white bread""]","{""almond butter jar"": ""brown"", ""slice of white bread"": ""white""}","[""almond butter jar above slice of white bread""]","[""BRISK""]",
MB053,de,"[""kombucha glass bottle"", ""ginger root""]","{""kombucha glass bottle"": ""brown"", ""ginger root"": ""yellow""}","[""kombucha glass bottle right of ginger root""]","[""COVE-Etikett""]",
MB054,de,"[""water bottle"", ""marble surface"", ""mint sprigs""]","{""water bottle"": ""blue"", ""marble surface"": ""white"", ""mint sprigs"": ""green""}","[""water bottle above marble surface"", ""water bottle above mint sprigs""]","[""DRIP-Etikett""]",
MB055,de,"[""matcha can"", ""bamboo tea whisk"", ""ceramic surface""]","{""matcha can"": ""green"", ""bamboo tea whisk"": ""brown"", ""ceramic surface"": ""white""}","[""matcha can right of bamboo tea whisk""]","[""ELIXIR""]",
MB056,de,"[""oat milk carton"", ""ceramic bowl""]","{""oat milk carton"": ""white"", ""ceramic bowl"": ""brown""}","[""oat milk carton right of ceramic bowl""]","[""FERN""]",
MB057,de,"[""aluminium can"", ""coconut""]","{""aluminium can"": ""white"", ""coconut"": ""brown""}","[""aluminium can right of coconut""]","[""GUSTO""]",
MB058,de,"[""schnapsflasche"", ""kurkumawurzel""]","{""schnapsflasche"": ""yellow"", ""kurkumawurzel"": ""orange""}","[""schnapsflasche above of kurkumawurzel""]","[""HERBA-Etikett""]",
MB059,de,"[""glass bottle"", ""grape""]","{""glass bottle"": ""purple"", ""grape"": ""none""}","[""glass bottle right of grape""]","[""INFUSE-Etikett""]",
MB060,de,"[""bottle"", ""carrot""]","{""bottle"": ""green"", ""carrot"": ""orange""}","[""bottle below of carrot""]","[""JUVO-Etikett""]",
MB061,de,"[""sneaker"", ""shoe box""]","{""sneaker"": ""white"", ""shoe box"": ""red""}","[""sneaker above shoe box""]","[""MODE-Logo""]",
MB062,de,"[""leather jacket"", ""wooden hanger""]","{""leather jacket"": ""black"", ""wooden hanger"": ""brown""}","[""leather jacket above wooden hanger""]","[""LUXE-Etikett""]",
MB063,de,"[""leather handbag"", ""sunglasses""]","{""leather handbag"": ""light brown"", ""sunglasses"": ""black""}","[""leather handbag left of sunglasses""]","[""FORM-Logo""]",
MB064,de,"[""wristwatch"", ""watch box""]","{""wristwatch"": ""gold"", ""watch box"": ""black""}","[""wristwatch above watch box""]","[""GRACE-Logo""]",
MB065,de,"[""sunglasses"", ""glasses case""]","{""sunglasses"": ""brown"", ""glasses case"": ""black""}","[""sunglasses above of glasses case""]","[""HAVEN""]",
MB066,de,"[""running shoe"", ""sports sock""]","{""running shoe"": ""blue"", ""sports sock"": ""white""}","[""running shoe left of sports sock""]","[""INKE-Logo""]",
MB067,de,"[""jeans jacket"", ""canvas bag""]","{""jeans jacket"": ""blue"", ""canvas bag"": ""white""}","[""jeans jacket above canvas bag""]","[""JOIE""]",
MB068,de,"[""leather bag"", ""silk scarf"", ""linen surface""]","{""leather bag"": ""brown"", ""silk scarf"": ""red"", ""linen surface"": ""beige""}","[""leather bag left of silk scarf""]","[""KEEN""]",
MB069,de,"[""sneaker"", ""skateboard""]","{""sneaker"": ""white"", ""skateboard"": ""red""}","[""sneaker above skateboard""]","[""LACE-Logo""]",
MB070,de,"[""sport-bh"", ""yogamatte""]","{""sport-bh"": ""rosa"", ""yogamatte"": ""violett""}","[""sport-bh above of yogamatte""]","[""MAUVE-Etikett""]",
MB071,de,"[""baseball cap"", ""t-shirt""]","{""baseball cap"": ""black"", ""t-shirt"": ""white""}","[""baseball cap above t-shirt""]","[""NOIR""]",
MB072,de,"[""chelsea boot"", ""leather belt""]","{""chelsea boot"": ""black"", ""leather belt"": ""brown""}","[""chelsea boot left of leather belt""]","[""ONYX""]",
MB073,de,"[""raincoat"", ""umbrella""]","{""raincoat"": ""yellow"", ""umbrella"": ""black""}","[""raincoat above umbrella""]","[""POISE-Label""]",
MB074,de,"[""wool pullover"", ""wood surface"", ""knitted scarf""]","{""wool pullover"": ""grey"", ""wood surface"": ""light"", ""knitted scarf"": ""white""}","[""wool pullover above knitted scarf""]","[""RIVE""]",
MB075,de,"[""badeanzug"", ""sonnencremeflasche""]","{""badeanzug"": ""orange"", ""sonnencremeflasche"": ""white""}","[""badeanzug left of sonnencremeflasche""]","[""SILK""]",
MB076,de,"[""rucksack"", ""wasserflasche""]","{""rucksack"": ""marineblau"", ""wasserflasche"": ""silber""}","[""rucksack left of wasserflasche""]","[""TONE""]",
MB077,de,"[""hoodie"", ""jogging pants""]","{""hoodie"": ""grey"", ""jogging pants"": ""black""}","[""hoodie above jogging pants""]","[""ULAN-Label""]",
MB078,de,"[""oxford dress shoe"", ""leather briefcase""]","{""oxford dress shoe"": ""brown"", ""leather briefcase"": ""light brown""}","[""oxford dress shoe left of leather briefcase""]","[""VIBE""]",
MB079,de,"[""winter jacket"", ""leather gloves""]","{""winter jacket"": ""red"", ""leather gloves"": ""black""}","[""winter jacket below leather gloves""]","[""WOVEN""]",
MB080,de,"[""sport shorts"", ""running shoes""]","{""sport shorts"": ""black"", ""running shoes"": ""white""}","[""sport shorts below running shoes""]","[""XARA-Logo""]",
MB081,de,"[""canvas bag"", ""paperback book""]","{""canvas bag"": ""beige"", ""paperback book"": ""white""}","[""canvas bag left of paperback book""]","[""YARN""]",
MB082,de,"[""trenchcoat"", ""umbrella""]","{""trenchcoat"": ""beige"", ""umbrella"": ""black""}","[""trenchcoat below umbrella""]","[""ZOLA-Label""]",
MB083,de,"[""bicycle helmet"", ""cycling shorts""]","{""bicycle helmet"": ""white"", ""cycling shorts"": ""black""}","[""cycling shorts right of bicycle helmet""]","[""AEON-Logo""]",
MB084,de,"[""leather wallet"", ""coin"", ""marble surface""]","{""leather wallet"": ""black"", ""coin"": ""silver"", ""marble surface"": ""dark""}","[""leather wallet below coin""]","[""BRIM""]",
MB085,de,"[""knit cap"", ""jacket""]","{""knit cap"": ""grey"", ""jacket"": ""navy blue""}","[""knit cap below jacket""]","[""CORD-Etikett""]",
MB086,de,"[""plateau pump"", ""leather clutch"", ""underlay""]","{""plateau pump"": ""black"", ""leather clutch"": ""red"", ""underlay"": ""gold""}","[""plateau pump right of leather clutch""]","[""DUSK-Logo""]",
MB087,de,"[""cargopants"", ""leather boots""]","{""cargopants"": ""green"", ""leather boots"": ""brown""}","[""cargopants below leather boots""]","[""ZYLO-Etikett""]",
MB088,de,"[""tie"", ""shirt""]","{""tie"": ""navy blue"", ""shirt"": ""white""}","[""tie below shirt""]","[""FINN""]",
MB089,de,"[""fitness leggings"", ""sports shoes""]","{""fitness leggings"": ""purple"", ""sports shoes"": ""white""}","[""fitness leggings right of sports shoes""]","[""GILD-Logo""]",
MB090,de,"[""leather sandal"", ""straw beach hat""]","{""leather sandal"": ""light brown"", ""straw beach hat"": ""white""}","[""leather sandal right of straw beach hat""]","[""HAZE-Logo""]",
MB091,de,"[""sports car"", ""racing helmet""]","{""sports car"": ""red"", ""racing helmet"": ""white""}","[""sports car left of racing helmet""]","[""TORQ-Logo""]",
MB092,de,"[""electric car"", ""charging cable""]","{""electric car"": ""white"", ""charging cable"": ""green""}","[""charging cable left of electric car""]","[""RUSH-Logo""]",
MB093,de,"[""suv"", ""roof rack""]","{""suv"": ""black"", ""roof rack"": ""silver""}",[],"[""FORGE""]",
MB094,de,"[""motorcycle"", ""integral helmet""]","{""motorcycle"": ""black"", ""integral helmet"": ""white""}","[""motorcycle left of integral helmet""]","[""HELIX-Logo""]",
MB095,de,"[""sports car"", ""tire""]","{""sports car"": ""blue"", ""tire"": ""black""}","[""tire below of sports car""]","[""JOLT""]",
MB096,de,"[""pickup"", ""toolbox""]","{""pickup"": ""orange"", ""toolbox"": ""black""}","[""pickup left of toolbox""]","[""KINETIC""]",
MB097,de,"[""electric scooter"", ""safety helmet""]","{""electric scooter"": ""white"", ""safety helmet"": ""black""}","[""electric scooter left of safety helmet""]","[""LAUNCH""]",
MB098,de,"[""compact car"", ""parking sign""]","{""compact car"": ""silver"", ""parking sign"": ""white""}","[""compact car left of parking sign""]","[""MOTION-Logo""]",
MB099,de,"[""cabriolet"", ""car key""]","{""cabriolet"": ""yellow"", ""car key"": ""silver""}","[""cabriolet above car key""]","[""PULSE""]",
MB100,de,"[""hybrid car"", ""solar panel""]","{""hybrid car"": ""green"", ""solar panel"": ""marine blue""}","[""hybrid car left of solar panel""]","[""QUEST""]",
MB101,de,"[""race car"", ""checkered flag""]","{""race car"": ""red"", ""checkered flag"": ""black and white""}","[""race car left of checkered flag""]","[""RACER-Logo""]",
MB102,de,"[""sport motorcycle"", ""leather racing glove""]","{""sport motorcycle"": ""silver"", ""leather racing glove"": ""black""}","[""sport motorcycle above leather racing glove""]","[""SPEED""]",
MB103,de,"[""limousine"", ""kindersitz""]","{""limousine"": ""white"", ""kindersitz"": ""black""}","[""kindersitz right of limousine""]","[""THRUST""]",
MB104,de,"[""off-road vehicle"", ""spare tire""]","{""off-road vehicle"": ""brown"", ""spare tire"": ""black""}","[""off-road vehicle left of spare tire""]","[""VEER""]",
MB105,de,"[""limousine"", ""keychain""]","{""limousine"": ""black"", ""keychain"": ""gold""}","[""limousine above keychain""]","[""WARP""]",
MB106,de,"[""e-bike"", ""charging cable""]","{""e-bike"": ""white"", ""charging cable"": ""black""}","[""e-bike left of charging cable""]","[""XCEL""]",
MB107,de,"[""race car"", ""trophy""]","{""race car"": ""red"", ""trophy"": ""gold""}","[""race car left of trophy""]","[""YOKE""]",
MB108,de,"[""delivery van"", ""box""]","{""delivery van"": ""white"", ""box"": ""brown""}","[""delivery van left of box""]",[],
MB109,de,"[""motorhome"", ""camping tent""]","{""motorhome"": ""beige"", ""camping tent"": ""green""}","[""motorhome left of camping tent""]","[""ALPHA""]",
MB110,de,"[""oldtimer"", ""zapfs\u00e4ule""]","{""oldtimer"": ""blue"", ""zapfs\u00e4ule"": ""silver""}","[""oldtimer left of zapfs\u00e4ule""]","[""BRAVO""]",
MB111,de,"[""sport hatchback"", ""roof rack""]","{""sport hatchback"": ""black"", ""roof rack"": ""silver""}",[],"[""TORVEX""]",
MB112,de,"[""police car"", ""light""]","{""police car"": ""white"", ""light"": ""red""}","[""light above of police car""]","[""DELTA""]",
MB113,de,"[""school bus"", ""stop sign""]","{""school bus"": ""yellow"", ""stop sign"": ""red""}","[""school bus right of stop sign""]","[""EAGLE""]",
MB114,de,"[""fire truck"", ""fire hose""]","{""fire truck"": ""red"", ""fire hose"": ""yellow""}","[""fire truck right of fire hose""]","[""FOXTROT""]",
MB115,de,"[""limousine""]","{""limousine"": ""black""}",[],"[""GRAND""]",
MB116,de,"[""off-road vehicle"", ""snow chains""]","{""off-road vehicle"": ""grey"", ""snow chains"": ""silver""}","[""off-road vehicle right of snow chains""]","[""HOUND""]",
MB117,de,"[""cruiser motorcycle"", ""leather saddlebag""]","{""cruiser motorcycle"": ""black"", ""leather saddlebag"": ""brown""}","[""cruiser motorcycle above leather saddlebag""]","[""IRON""]",
MB118,de,"[""suv"", ""radio antenna""]","{""suv"": ""green"", ""radio antenna"": ""black""}","[""radio antenna right of suv""]","[""VANTIS""]",
MB119,de,"[""small car"", ""city map""]","{""small car"": ""red"", ""city map"": ""white""}","[""small car right of city map""]","[""KILO""]",
MB120,de,"[""superbike"", ""rennstrecken-kegel""]","{""superbike"": ""orange"", ""rennstrecken-kegel"": ""black""}","[""superbike right of rennstrecken-kegel""]","[""LANCE""]",
MB121,de,"[""yogamat"", ""water bottle""]","{""yogamat"": ""violet"", ""water bottle"": ""silver""}","[""yogamat left of water bottle""]","[""ZENITH""]",
MB122,de,"[""supplement bottle"", ""capsule""]","{""supplement bottle"": ""white"", ""capsule"": ""orange""}","[""capsule right of supplement bottle""]","[""REVIVE""]",
MB123,de,"[""sports bag"", ""towel""]","{""sports bag"": ""black"", ""towel"": ""white""}","[""sports bag left of towel""]","[""BOOST-Logo""]",
MB124,de,"[""face cream jar"", ""marble surface"", ""pink flower""]","{""face cream jar"": ""white"", ""marble surface"": ""none"", ""pink flower"": ""pink""}","[""face cream jar above marble surface"", ""face cream jar above pink flower""]","[""AURA""]",
MB125,de,"[""protein shaker"", ""dumbbell"", ""fitness mat""]","{""protein shaker"": ""black"", ""dumbbell"": ""silver"", ""fitness mat"": ""grey""}","[""protein shaker left of dumbbell""]","[""PEAK""]",
MB126,de,"[""meditation cushion"", ""candle""]","{""meditation cushion"": ""purple"", ""candle"": ""white""}","[""meditation cushion left of candle""]","[""CALM""]",
MB127,de,"[""foam roller"", ""yoga mat""]","{""foam roller"": ""blue"", ""yoga mat"": ""purple""}","[""foam roller on top of yoga mat""]","[""ALIGN""]",
MB128,de,"[""resistance band"", ""water bottle""]","{""resistance band"": ""red"", ""water bottle"": ""black""}","[""resistance band left of water bottle""]","[""TENZO""]",
MB129,de,"[""glass bottle"", ""ceramic diffuser""]","{""glass bottle"": ""brown"", ""ceramic diffuser"": ""white""}","[""glass bottle left of ceramic diffuser""]","[""TERRA""]",
MB130,de,"[""sleep mask"", ""pillow"", ""bed""]","{""sleep mask"": ""black"", ""pillow"": ""white"", ""bed"": ""grey""}","[""sleep mask on pillow"", ""pillow on bed""]","[""REST""]",
MB131,de,"[""diary"", ""pen""]","{""diary"": ""white"", ""pen"": ""black""}","[""diary left of pen""]","[""RYNTH""]",
MB132,de,"[""fitness watch"", ""smartphone""]","{""fitness watch"": ""black"", ""smartphone"": ""white""}","[""fitness watch left of smartphone""]","[""TRACE""]",
MB133,de,"[""massage gun"", ""charging station""]","{""massage gun"": ""black"", ""charging station"": ""white""}","[""massage gun above charging station""]","[""EASE""]",
MB134,de,"[""tiegel"", ""glas""]","{""tiegel"": ""white"", ""glas"": ""pink""}","[""tiegel left of glas""]","[""RENEW""]",
MB135,de,"[""thermos flask"", ""bag""]","{""thermos flask"": ""green"", ""bag"": ""brown""}","[""thermos flask left of bag""]","[""VOXA""]",
MB136,de,"[""smoothie bowl"", ""spoon""]","{""smoothie bowl"": ""yellow"", ""spoon"": ""silver""}","[""smoothie bowl above spoon""]","[""VIVID""]",
MB137,de,"[""sunscreen bottle"", ""beach towel""]","{""sunscreen bottle"": ""white"", ""beach towel"": ""orange""}","[""sunscreen bottle left of beach towel""]","[""SHIELD""]",
MB138,de,"[""vitamin bottle"", ""blister pack""]","{""vitamin bottle"": ""orange"", ""blister pack"": ""silver""}","[""vitamin bottle right of blister pack""]","[""VITAL""]",
MB139,de,"[""balance-board"", ""sports-shoe""]","{""balance-board"": ""blue-green"", ""sports-shoe"": ""white""}","[""balance-board above sports-shoe""]","[""CORE""]",
MB140,de,"[""ice roller"", ""face serum bottle""]","{""ice roller"": ""white"", ""face serum bottle"": ""gold""}","[""ice roller left of face serum bottle""]","[""CHILL""]",
MB141,de,"[""towel"", ""water bottle""]","{""towel"": ""white"", ""water bottle"": ""black""}","[""towel above of water bottle""]","[""STEAM""]",
MB142,de,"[""acupressure mat"", ""pillow""]","{""acupressure mat"": ""purple"", ""pillow"": ""white""}","[""acupressure mat right of pillow""]","[""PRESS""]",
MB143,de,"[""packaging"", ""energy bar"", ""water bottle""]","{""packaging"": ""green"", ""energy bar"": ""green"", ""water bottle"": ""silver""}","[""packaging above water bottle""]","[""FUEL""]",
MB144,de,"[""bag"", ""shaker bottle""]","{""bag"": ""black"", ""shaker bottle"": ""red""}","[""bag right of shaker bottle""]","[""MASS""]",
MB145,de,"[""eye cream tube"", ""hand mirror""]","{""eye cream tube"": ""white"", ""hand mirror"": ""gold""}","[""eye cream tube right of hand mirror""]","[""LUMI""]",
MB146,de,"[""stretch band"", ""yoga mat""]","{""stretch band"": ""blue"", ""yoga mat"": ""purple""}","[""stretch band below of yoga mat""]","[""EXTEND""]",
MB147,de,"[""bottle"", ""moon lamp""]","{""bottle"": ""white"", ""moon lamp"": ""silver""}","[""bottle right of moon lamp""]","[""DRIFT""]",
MB148,de,"[""drinking vest"", ""trail running shoes""]","{""drinking vest"": ""blue"", ""trail running shoes"": ""orange""}","[""drinking vest below trail running shoes""]","[""PACE""]",
MB149,de,"[""incense holder"", ""meditation beads"", ""bamboo mat""]","{""incense holder"": ""black"", ""meditation beads"": ""brown"", ""bamboo mat"": ""natural""}","[""incense holder right of meditation beads""]","[""SERENE""]",
MB150,de,"[""cold water tub"", ""towel""]","{""cold water tub"": ""white"", ""towel"": ""blue""}","[""cold water tub right of towel""]","[""POLAR""]",
MB001,fr,"[""smartwatch"", ""wireless charger""]","{""smartwatch"": ""silver"", ""wireless charger"": ""black""}","[""smartwatch left of wireless charger""]","[""ZYRA""]",
MB002,fr,"[""ordinateur portable"", ""souris sans fil"", ""bureau""]","{""ordinateur portable"": ""noir"", ""souris sans fil"": ""blanc"", ""bureau"": ""gris""}","[""souris sans fil right of ordinateur portable""]","[""KESTRA""]",
MB003,fr,"[""earphones"", ""charging case""]","{""earphones"": ""white"", ""charging case"": ""black""}","[""earphones above charging case""]","[""APEX""]",
MB004,fr,"[""smartphone"", ""socle""]","{""smartphone"": ""black"", ""socle"": ""silver""}","[""smartphone on top of socle""]","[""VOLT""]",
MB005,fr,"[""tablet"", ""stylus""]","{""tablet"": ""white"", ""stylus"": ""gold""}","[""stylus right of tablet""]","[""PRISM""]",
MB006,fr,"[""keyboard"", ""mouse"", ""desk mat""]","{""keyboard"": ""black"", ""mouse"": ""red"", ""desk mat"": ""dark""}","[""mouse right of keyboard""]","[""SYNTH""]",
MB007,fr,"[""bluetooth speaker"", ""smartphone"", ""table""]","{""bluetooth speaker"": ""blue"", ""smartphone"": ""black"", ""table"": ""wood""}","[""smartphone right of bluetooth speaker""]","[""NEXUS""]",
MB008,fr,"[""appareil photo reflex num\u00e9rique"", ""objectif"", ""socle""]","{""appareil photo reflex num\u00e9rique"": ""black"", ""objectif"": ""silver"", ""socle"": ""white""}","[""objectif right of appareil photo reflex num\u00e9rique""]","[""KOVAL""]",
MB009,fr,"[""game controller"", ""gaming headset""]","{""game controller"": ""white"", ""gaming headset"": ""black""}","[""game controller left of gaming headset""]","[""LUNEX""]",
MB010,fr,"[""\u00e9cran connect\u00e9"", ""t\u00e9l\u00e9commande""]","{""\u00e9cran connect\u00e9"": ""black"", ""t\u00e9l\u00e9commande"": ""silver""}","[""t\u00e9l\u00e9commande below of \u00e9cran connect\u00e9""]","[""KORE""]",
MB011,fr,"[""battery"", ""usb cable""]","{""battery"": ""white"", ""usb cable"": ""red""}","[""usb cable below of battery""]","[""LUMIX""]",
MB012,fr,"[""ordinateur portable"", ""tasse \u00e0 caf\u00e9""]","{""ordinateur portable"": ""argent\u00e9"", ""tasse \u00e0 caf\u00e9"": ""blanche""}","[""tasse \u00e0 caf\u00e9 right of ordinateur portable""]","[""MIRAX""]",
MB013,fr,"[""earphones"", ""smartphone""]","{""earphones"": ""white"", ""smartphone"": ""black""}","[""earphones above smartphone""]","[""NEURO""]",
MB014,fr,"[""webcam"", ""screen"", ""desk""]","{""webcam"": ""black"", ""screen"": ""white"", ""desk"": ""not specified""}","[""webcam above screen""]","[""OPUS""]",
MB015,fr,"[""action camera"", ""bike helmet""]","{""action camera"": ""orange"", ""bike helmet"": ""white""}","[""action camera left of bike helmet""]","[""PHASE""]",
MB016,fr,"[""connected speaker"", ""digital alarm clock"", ""nightstand""]","{""connected speaker"": ""white"", ""digital alarm clock"": ""black"", ""nightstand"": ""white""}","[""connected speaker left of digital alarm clock""]","[""QUBIT""]",
MB017,fr,"[""casque de r\u00e9alit\u00e9 virtuelle"", ""manette de mouvement""]","{""casque de r\u00e9alit\u00e9 virtuelle"": ""white"", ""manette de mouvement"": ""black""}","[""casque de r\u00e9alit\u00e9 virtuelle above manette de mouvement""]","[""RADIUS""]",
MB018,fr,"[""screen"", ""keyboard"", ""desk""]","{""screen"": ""black"", ""keyboard"": ""silver"", ""desk"": ""glass""}","[""keyboard below of screen""]","[""logo SPARK""]",
MB019,fr,"[""drone quadricopt\u00e8re"", ""t\u00e9l\u00e9commande""]","{""drone quadricopt\u00e8re"": ""noir"", ""t\u00e9l\u00e9commande"": ""gris""}","[""drone quadricopt\u00e8re left of t\u00e9l\u00e9commande""]","[""VORTA""]",
MB020,fr,"[""e-reader"", ""reading glasses""]","{""e-reader"": ""white"", ""reading glasses"": ""black""}","[""e-reader left of reading glasses""]","[""RIVOX""]",
MB021,fr,"[""hub usb"", ""ordinateur portable"", ""bureau""]","{""hub usb"": ""gris"", ""ordinateur portable"": ""argent\u00e9"", ""bureau"": ""blanc""}","[""hub usb left of ordinateur portable""]","[""WAVE""]",
MB022,fr,"[""gaming headset"", ""stand""]","{""gaming headset"": ""black"", ""stand"": ""white""}","[""gaming headset on top of stand""]","[""logo XENON""]",
MB023,fr,"[""bracelet connect\u00e9"", ""smartphone""]","{""bracelet connect\u00e9"": ""noir"", ""smartphone"": ""blanc""}","[""bracelet connect\u00e9 left of smartphone""]","[""ZETA""]",
MB024,fr,"[""projector"", ""remote control""]","{""projector"": ""white"", ""remote control"": ""black""}","[""projector above remote control""]","[""AXON""]",
MB025,fr,"[""glasses"", ""case""]","{""glasses"": ""rose gold"", ""case"": ""black""}","[""glasses above case""]","[""BREEZE""]",
MB026,fr,"[""ssd"", ""usb cable""]","{""ssd"": ""silver"", ""usb cable"": ""blue""}","[""usb cable right of ssd""]","[""CREST""]",
MB027,fr,"[""wireless charger"", ""smartphone"", ""nightstand""]","{""wireless charger"": ""white"", ""smartphone"": ""black"", ""nightstand"": ""wood""}","[""smartphone on top of wireless charger"", ""wireless charger on top of nightstand""]","[""DAWN""]",
MB028,fr,"[""smart lock"", ""door handle"", ""door""]","{""smart lock"": ""black"", ""door handle"": ""silver"", ""door"": ""white""}","[""smart lock above door handle""]","[""NYRIC""]",
